证券代码,证券名称,sw_l1,股票代码,股票简称,首次预约,初次变更,二次变更,三次变更,实际披露
688047,龙芯中科,电子,688047,龙芯中科,2026-08-29,,,,
002841,视源股份,电子,002841,视源股份,2026-08-27,,,,
002885,京泉华,电子,002885,京泉华,2026-08-29,,,,
002992,宝明科技,电子,002992,宝明科技,2026-08-28,,,,
300131,英唐智控,电子,300131,英唐智控,2026-08-29,,,,
300975,商络电子,电子,300975,商络电子,2026-08-24,2026-08-29,,,
600363,联创光电,电子,600363,联创光电,2026-08-27,2026-08-29,,,
688595,芯海科技,电子,688595,芯海科技,2026-08-28,,,,
688371,菲沃泰,电子,688371,菲沃泰,2026-08-29,,,,
688391,钜泉科技,电子,688391,钜泉科技,2026-08-29,,,,
301326,捷邦科技,电子,301326,捷邦科技,2026-08-28,,,,
301369,联动科技,电子,301369,联动科技,2026-08-27,,,,
688409,富创精密,电子,688409,富创精密,2026-08-31,,,,
688372,伟测科技,电子,688372,伟测科技,2026-08-29,,,,
001298,好上好,电子,001298,好上好,2026-08-28,,,,
301389,隆扬电子,电子,301389,隆扬电子,2026-08-27,,,,
301379,天山电子,电子,301379,天山电子,2026-08-29,,,,
688498,源杰科技,电子,688498,源杰科技,2026-08-29,,,,
688141,杰华特,电子,688141,杰华特,2026-08-27,,,,
688515,裕太微-U,电子,688515,裕太微,2026-08-29,,,,
603061,金海通,电子,603061,金海通,2026-08-27,,,,
688502,茂莱光学,电子,688502,茂莱光学,2026-08-29,,,,
688535,华海诚科,电子,688535,华海诚科,2026-08-29,,,,
688539,高华科技,电子,688539,高华科技,2026-08-27,,,,
688478,晶升股份,电子,688478,晶升股份,2026-08-28,,,,
688512,慧智微-U,电子,688512,慧智微,2026-08-27,2026-08-31,,,
688458,美芯晟,电子,688458,美芯晟,2026-08-31,,,,
001373,翔腾新材,电子,001373,翔腾新材,2026-08-27,,,,
688620,安凯微,电子,688620,安凯微,2026-08-28,,,,
688603,天承科技,电子,688603,天承科技,2026-08-29,,,,
688347,华虹宏力,电子,688347,华虹宏力,2026-08-27,,,,
301348,蓝箭电子,电子,301348,蓝箭电子,2026-08-27,,,,
688548,广钢气体,电子,688548,广钢气体,2026-08-31,,,,
688693,锴威特,电子,688693,锴威特,2026-08-27,,,,
688702,盛科通信,电子,688702,盛科通信,2026-08-27,,,,
301489,思泉新材,电子,301489,思泉新材,2026-08-24,2026-08-28,,,
688652,京仪装备,电子,688652,京仪装备,2026-08-29,,,,
301566,达利凯普,电子,301566,达利凯普,2026-08-28,,,,
688709,成都华微,电子,688709,成都华微,2026-08-29,,,,
688584,上海合晶,电子,688584,上海合晶,2026-08-29,2026-08-31,,,
603341,龙旗科技,电子,603341,龙旗科技,2026-08-28,,,,
301536,星宸科技,电子,301536,星宸科技,2026-08-22,2026-08-27,,,
688691,灿芯股份,电子,688691,灿芯股份,2026-08-28,,,,
688530,欧莱新材,电子,688530,欧莱新材,2026-08-22,2026-08-29,,,
300489,光智科技,电子,300489,光智科技,2026-08-29,,,,
300784,利安科技,电子,300784,利安科技,2026-08-28,,,,
001309,德明利,电子,001309,德明利,2026-08-25,2026-08-28,,,
688496,*ST清越,电子,688496,*ST清越,2026-08-31,,,,
688721,龙图光罩,电子,688721,龙图光罩,2026-08-20,2026-08-28,,,
301626,苏州天脉,电子,301626,苏州天脉,2026-08-28,,,,
301628,强达电路,电子,301628,强达电路,2026-08-27,,,,
688605,先锋精科,电子,688605,先锋精科,2026-08-31,,,,
688775,影石创新,电子,688775,影石创新,2026-08-28,,,,
688729,屹唐股份,电子,688729,屹唐股份,2026-08-29,,,,
301491,汉桑科技,电子,301491,汉桑科技,2026-08-29,,,,
603991,领先股份,电子,603991,领先股份,2026-08-27,,,,
603175,超颖电子,电子,603175,超颖电子,2026-08-31,,,,
688790,昂瑞微-U,电子,688790,昂瑞微,2026-08-27,,,,
688802,沐曦股份,电子,688802,沐曦股份,2026-08-31,,,,
688809,强一股份,电子,688809,强一股份,2026-08-31,,,,
688785,恒运昌,电子,688785,恒运昌,2026-08-31,,,,
300128,锦富技术,电子,300128,锦富技术,2026-08-28,,,,
603115,海星股份,电子,603115,海星股份,2026-08-29,,,,
603316,诚邦股份,电子,603316,诚邦股份,2026-08-31,,,,
688307,中润光学,电子,688307,中润光学,2026-08-28,,,,
301583,托伦斯,电子,301583,托伦斯,2026-08-27,,,,
688825,长鑫科技,电子,688825,长鑫科技,2026-08-29,,,,
001232,嘉立创,电子,001232,嘉立创,2026-08-27,,,,
301717,超纯应材,电子,301717,超纯应材,2026-08-27,,,,
000066,中国长城,计算机,000066,中国长城,2026-08-29,,,,
000158,常山北明,计算机,000158,常山北明,2026-08-29,,,,
000555,神州信息,计算机,000555,神州信息,2026-08-29,,,,
000938,紫光股份,计算机,000938,紫光股份,2026-08-29,,,,
000977,浪潮信息,计算机,000977,浪潮信息,2026-08-29,,,,
002063,远光软件,计算机,002063,远光软件,2026-08-29,,,,
002152,广电运通,计算机,002152,广电运通,2026-08-28,,,,
002195,岩山科技,计算机,002195,岩山科技,2026-08-28,,,,
002197,证通电子,计算机,002197,证通电子,2026-08-29,,,,
002212,天融信,计算机,002212,天融信,2026-08-29,,,,
002253,川大智胜,计算机,002253,川大智胜,2026-08-29,,,,
002268,电科网安,计算机,002268,电科网安,2026-08-27,,,,
002279,久其软件,计算机,002279,久其软件,2026-08-28,,,,
002331,皖通科技,计算机,002331,皖通科技,2026-08-27,,,,
002401,中远海科,计算机,002401,中远海科,2026-08-29,,,,
002512,ST达华,计算机,002512,ST达华,2026-08-29,,,,
002642,荣联科技,计算机,002642,荣联科技,2026-08-28,,,,
002771,真视通,计算机,002771,真视通,2026-08-27,,,,
002835,同为股份,计算机,002835,同为股份,2026-08-28,,,,
002970,锐明技术,计算机,002970,锐明技术,2026-08-27,,,,
003004,声迅股份,计算机,003004,声迅股份,2026-08-28,,,,
003005,竞业达,计算机,003005,竞业达,2026-08-29,,,,
300020,ST银江,计算机,300020,ST银江,2026-08-28,,,,
300074,华平股份,计算机,300074,华平股份,2026-08-27,,,,
300075,数字政通,计算机,300075,数字政通,2026-08-14,2026-08-28,,,
300085,银之杰,计算机,300085,银之杰,2026-08-29,,,,
300150,世纪瑞尔,计算机,300150,世纪瑞尔,2026-08-27,,,,
300166,东方国信,计算机,300166,东方国信,2026-08-28,,,,
300167,ST迪威迅,计算机,300167,ST迪威迅,2026-08-27,,,,
300168,万达信息,计算机,300168,万达信息,2026-08-28,,,,
300170,汉得信息,计算机,300170,汉得信息,2026-08-28,,,,
300229,拓尔思,计算机,300229,拓尔思,2026-08-29,,,,
300231,银信科技,计算机,300231,银信科技,2026-08-29,,,,
300245,ST天玑,计算机,300245,ST天玑,2026-08-28,,,,
300264,佳创视讯,计算机,300264,佳创视讯,2026-08-29,,,,
300277,汽轮科技,计算机,300277,汽轮科技,2026-08-27,,,,
300287,飞利信,计算机,300287,飞利信,2026-08-24,2026-08-29,,,
300288,朗玛信息,计算机,300288,朗玛信息,2026-08-28,,,,
300290,ST荣科,计算机,300290,ST荣科,2026-08-27,,,,
300300,海峡创新,计算机,300300,海峡创新,2026-08-29,,,,
300302,同有科技,计算机,300302,同有科技,2026-08-28,,,,
300333,兆日科技,计算机,300333,兆日科技,2026-08-27,,,,
300348,长亮科技,计算机,300348,长亮科技,2026-08-27,,,,
300366,ST创意,计算机,300366,ST创意,2026-08-27,,,,
300368,汇金股份,计算机,300368,汇金股份,2026-08-29,,,,
300378,鼎捷数智,计算机,300378,鼎捷数智,2026-08-28,,,,
300380,安硕信息,计算机,300380,安硕信息,2026-08-29,,,,
300419,ST浩丰,计算机,300419,ST浩丰,2026-08-27,,,,
300440,运达科技,计算机,300440,运达科技,2026-08-27,2026-08-29,,,
300449,汉邦高科,计算机,300449,汉邦高科,2026-08-27,,,,
300451,创业慧康,计算机,300451,创业慧康,2026-08-29,,,,
300468,四方精创,计算机,300468,四方精创,2026-08-24,2026-08-27,,,
300469,信息发展,计算机,300469,信息发展,2026-08-28,,,,
300523,辰安科技,计算机,300523,辰安科技,2026-08-29,,,,
300525,博思软件,计算机,300525,博思软件,2026-08-28,,,,
300532,今天国际,计算机,300532,今天国际,2026-08-29,,,,
300542,新晨科技,计算机,300542,新晨科技,2026-08-29,,,,
300551,古鳌科技,计算机,300551,古鳌科技,2026-08-27,,,,
300556,丝路视觉,计算机,300556,丝路视觉,2026-08-29,,,,
300561,汇金科技,计算机,300561,汇金科技,2026-08-27,,,,
300579,数字认证,计算机,300579,数字认证,2026-08-28,,,,
300588,熙菱信息,计算机,300588,熙菱信息,2026-08-29,,,,
300598,诚迈科技,计算机,300598,诚迈科技,2026-08-29,,,,
300605,恒锋信息,计算机,300605,恒锋信息,2026-08-28,,,,
300634,彩讯股份,计算机,300634,彩讯股份,2026-08-28,,,,
300645,正元智慧,计算机,300645,正元智慧,2026-08-27,,,,
300659,中孚信息,计算机,300659,中孚信息,2026-08-29,,,,
300663,科蓝软件,计算机,300663,科蓝软件,2026-08-29,,,,
300678,中科信息,计算机,300678,中科信息,2026-08-28,,,,
300691,联合光电,计算机,300691,联合光电,2026-08-28,,,,
300730,科创信息,计算机,300730,科创信息,2026-08-29,,,,
300789,唐源电气,计算机,300789,唐源电气,2026-08-28,,,,
300790,宇瞳光学,计算机,300790,宇瞳光学,2026-08-28,,,,
300803,指南针,计算机,300803,指南针,2026-08-27,,,,
