股票代码,circulating_cap_yi,market_cap_yi,price,change_pct_1d
603115,181.6,181.6,74.25,-2.56
603316,36.4,37.2,13.78,-1.08
688307,59.1,59.1,47.59,-2.58
301583,37.8,227.5,122.67,-0.33
688825,2525.8,37513.5,56.09,-0.73
001232,64.9,815.3,146.76,-1.58
301717,67.2,392.6,385.51,2.58
000066,456.1,456.1,14.14,0.64
000158,200.6,201.9,12.63,0.4
000555,102.9,103.0,10.56,0.48
000938,998.7,998.7,34.92,-0.51
000977,1082.5,1083.7,73.8,-0.42
002063,95.7,103.6,5.41,0.56
002152,244.2,244.4,9.84,1.03
002195,356.6,359.8,6.35,0.32
002197,35.7,41.0,6.68,0.3
002212,72.5,73.2,6.21,-0.8
002253,20.2,21.7,9.62,-1.03
002268,117.7,117.7,13.92,1.02
002279,50.4,54.7,6.34,-0.31
002331,27.9,29.7,6.93,-0.57
002401,45.9,45.9,12.35,-0.56
002512,43.8,44.1,4.0,0.76
002642,47.8,47.8,7.23,-0.41
002771,21.4,25.8,12.28,-0.73
002835,16.0,27.5,12.54,-1.03
002970,63.1,91.8,49.92,-1.21
003004,47.3,56.3,68.81,-0.04
003005,17.2,31.4,13.58,-0.8
300020,26.0,26.9,3.39,-0.88
300074,21.1,21.1,3.84,-0.78
300075,56.1,67.6,10.89,-0.18
300085,193.6,209.8,29.69,2.84
300150,20.2,25.5,4.35,0.0
300166,116.7,146.7,12.88,-0.62
300167,14.4,17.0,4.08,1.49
300168,72.0,72.0,5.0,-0.6
300170,149.9,157.0,15.09,-0.59
300229,115.4,115.5,13.22,-0.38
300231,36.7,36.7,8.25,-0.12
300245,16.7,17.4,5.69,0.71
300264,23.8,27.7,6.42,-1.23
300277,90.9,180.0,11.87,-0.5
300287,46.7,50.8,3.54,-0.28
300288,25.6,33.8,9.99,-0.5
300290,38.5,38.5,6.02,-0.99
300300,49.5,49.5,7.42,-0.4
300302,105.3,136.9,28.56,-2.49
300333,42.5,42.6,12.68,19.96
300348,73.2,81.4,10.02,2.35
300366,27.3,31.2,5.14,0.0
300368,41.9,41.9,7.93,1.93
300378,82.8,83.4,30.72,-3.0
300380,36.8,40.0,28.9,0.35
300419,30.5,30.5,8.3,-2.35
300440,83.4,83.7,18.95,-1.97
300449,27.2,27.2,7.04,-0.71
300451,53.1,53.9,3.48,-0.57
300468,125.6,125.8,23.71,-1.29
300469,137.7,137.8,55.51,0.05
300523,46.8,46.8,20.12,-0.05
300525,50.3,61.3,8.16,0.0
300532,42.0,44.2,6.95,0.72
300542,31.9,38.4,12.87,-7.74
300551,35.8,35.9,10.55,-1.77
300556,17.5,19.6,16.14,-1.1
300561,40.9,55.7,16.98,11.34
300579,58.5,60.6,22.46,-2.6
300588,36.9,40.0,20.87,-0.95
300598,69.0,69.0,31.8,-1.7
300605,13.0,17.0,10.29,-1.34
300634,82.9,86.1,19.09,-0.1
300645,18.3,18.7,13.16,-1.57
300659,19.2,26.5,10.17,-1.07
300663,39.9,41.5,8.67,-0.57
300678,63.8,65.0,21.92,-0.05
300691,32.4,39.5,14.67,-1.34
300730,23.4,27.2,11.3,-0.96
300789,25.5,26.3,18.25,0.05
300790,85.5,97.4,18.71,-2.25
300803,508.8,512.6,84.06,5.26
300830,27.3,36.6,8.1,-0.74
300925,52.1,63.9,14.91,1.02
300935,18.5,24.4,30.75,-3.33
300996,46.3,55.0,13.9,-1.07
301042,30.1,31.5,32.58,-1.6
301178,23.2,31.4,33.74,-3.27
301185,22.8,25.2,16.42,-1.32
600100,229.2,229.2,6.84,1.94
600271,127.3,127.3,6.87,0.73
600410,146.3,146.3,13.34,-0.15
600571,49.8,50.7,10.87,0.65
600654,69.5,85.4,3.0,1.01
600718,98.9,98.9,8.27,0.98
601519,166.5,166.5,8.37,5.15
603138,36.7,37.3,12.72,-0.63
603232,34.3,34.5,14.83,-0.8
603496,75.8,75.8,23.68,-0.8
603636,40.4,40.4,6.96,0.0
603660,59.9,59.9,10.48,-1.5
603918,39.1,39.1,10.72,-1.38
603990,68.3,68.3,22.38,-4.56
605118,115.0,115.6,28.12,-1.99
605398,33.0,33.0,20.26,-0.25
688030,29.7,29.7,16.5,-0.54
688038,20.7,20.7,17.81,-1.11
688051,19.0,19.0,24.61,-1.12
688058,17.1,17.1,22.57,-1.27
688060,20.9,20.9,34.72,-1.42
688066,21.1,21.1,8.03,-1.23
688095,52.7,52.7,57.7,-0.76
