股票代码,股票简称,sw_l1,首次预约,circulating_cap_yi,market_cap_yi,price,chg_20d_pct,latest_date,ago_date,err,预告方向,预告业绩变动详情,预告公告日期,已发预告
002654,万润科技,电子,2026-08-27,115.0,115.0,13.61,19.49,2026-08-26,2026-07-29,,,,,False
300537,广信材料,电子,2026-08-27,29.3,40.0,19.29,9.35,2026-08-26,2026-07-29,,,,,False
300536,农尚环境,计算机,2026-08-27,26.6,26.6,9.06,14.97,2026-08-26,2026-07-29,,,,,False
300493,润欣科技,电子,2026-08-27,61.4,62.1,12.11,-4.42,2026-08-26,2026-07-29,,,,,False
000070,特发信息,通信,2026-08-27,136.1,138.0,15.89,25.39,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:5,500万元至7,100万元,同比上年增长:881.42%至1166.93%。",2026-07-09,True
300456,赛微电子,电子,2026-08-27,183.6,225.0,30.73,9.2,2026-08-26,2026-07-29,,,,,False
300183,东软载波,通信,2026-08-27,40.0,49.8,10.77,5.28,2026-08-26,2026-07-29,,,,,False
002729,好利科技,电子,2026-08-27,24.3,25.3,13.84,5.0,2026-08-26,2026-07-29,,预减,"预计2026年1-6月归属于上市公司股东的净利润盈利:1,300万元至1,600万元,同比上年下降:50.29%至59.61%。",2026-07-15,True
300603,立昂技术,通信,2026-08-27,28.7,35.7,7.67,0.52,2026-08-26,2026-07-29,,,,,False
603220,中贝通信,通信,2026-08-27,99.8,99.8,18.6,2.31,2026-08-26,2026-07-29,,预减,"预计2026年1-6月归属于上市公司股东的净利润盈利:1,000万元至1,115万元,同比上年下降:77.98%至80.25%,同比上年降低3,949万元至4,064万元。",2026-07-15,True
300571,平治信息,通信,2026-08-27,34.2,41.2,29.56,-2.02,2026-08-26,2026-07-29,,,,,False
600776,东方通信,通信,2026-08-27,122.5,160.9,12.81,3.89,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利约:32,000万元,同比上年增长:142.58%左右,同比上年增长18,809万元左右。",2026-07-15,True
300162,雷曼光电,电子,2026-08-27,26.0,31.8,7.59,4.69,2026-08-26,2026-07-29,,,,,False
300638,广和通,通信,2026-08-27,100.4,170.1,18.92,-6.85,2026-08-26,2026-07-29,,,,,False
600775,南京熊猫,通信,2026-08-27,64.1,87.2,9.54,-0.93,2026-08-26,2026-07-29,,减亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:2,400万元至2,880万元,同比上年增长:36%至48%。",2026-07-14,True
300115,长盈精密,电子,2026-08-27,351.0,352.0,25.86,-3.54,2026-08-26,2026-07-29,,,,,False
300959,线上线下,通信,2026-08-27,46.7,71.8,89.29,-1.89,2026-08-26,2026-07-29,,,,,False
300076,*ST宁视,电子,2026-08-27,19.1,19.1,4.5,7.91,2026-08-26,2026-07-29,,,,,False
600289,ST信通,通信,2026-08-27,25.5,28.4,4.5,-2.17,2026-08-26,2026-07-29,,续亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:9,500万元至13,500万元。",2026-07-15,True
600487,亨通光电,通信,2026-08-27,1582.6,1590.8,64.5,29.77,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:301,567.59万元至356,837.72万元,同比上年增长:86.94%至121.2%,同比上年增长140,247.72万元至195,517.85万元。",2026-07-14,True
600498,烽火通信,通信,2026-08-27,504.7,539.1,39.69,14.87,2026-08-26,2026-07-29,,,,,False
002876,三利谱,电子,2026-08-27,43.1,50.4,28.97,6.86,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:5,500万元至7,200万元,同比上年增长:44.96%至89.77%。",2026-07-14,True
300398,飞凯材料,电子,2026-08-27,196.8,197.9,34.71,8.24,2026-08-26,2026-07-29,,,,,False
688631,莱斯信息,计算机,2026-08-27,65.6,65.6,40.13,-0.3,2026-08-26,2026-07-29,,,,,False
