
=== 2025-01-14  n=153 ===
  600654 中安科      board=1 pct=10.0 turn=4.1 floatmkt~81.0亿
  600694 大商股份     board=1 pct=10.0 turn=2.8 floatmkt~82.3亿
  600696 ???      board=1 pct=10.1 turn=6.1 floatmkt~32.0亿
  600698 湖南天雁     board=1 pct=9.9 turn=4.2 floatmkt~48.6亿
  600797 浙大网新     board=1 pct=9.9 turn=12.2 floatmkt~83.3亿
  600812 华北制药     board=1 pct=10.1 turn=3.8 floatmkt~106.8亿
  600814 杭州解百     board=1 pct=10.0 turn=3.3 floatmkt~55.2亿
  600846 同济科技     board=1 pct=10.1 turn=6.5 floatmkt~55.0亿
  600881 亚泰集团     board=1 pct=10.0 turn=7.1 floatmkt~62.3亿
  600979 广安爱众     board=1 pct=10.1 turn=13.4 floatmkt~60.3亿
  600986 浙文互联     board=1 pct=10.0 turn=21.7 floatmkt~102.5亿
  600996 贵广网络     board=1 pct=10.0 turn=2.8 floatmkt~108.3亿
  601606 长城军工     board=1 pct=10.0 turn=4.8 floatmkt~91.0亿
  603090 宏盛股份     board=1 pct=10.0 turn=5.0 floatmkt~19.7亿
  603095 越剑智能     board=1 pct=10.0 turn=6.9 floatmkt~43.9亿
  603119 浙江荣泰     board=1 pct=10.0 turn=12.3 floatmkt~61.0亿
  603189 *ST网达    board=1 pct=10.0 turn=6.9 floatmkt~45.9亿
  603214 爱婴室      board=1 pct=10.0 turn=6.5 floatmkt~32.5亿
  603220 中贝通信     board=1 pct=10.0 turn=7.7 floatmkt~107.2亿
  603270 金帝股份     board=1 pct=10.0 turn=21.0 floatmkt~16.1亿
  603559 中通国脉     board=1 pct=4.9 turn=0.5 floatmkt~30.2亿
  603729 ST龙韵     board=1 pct=10.0 turn=15.7 floatmkt~16.1亿
  603881 数据港      board=1 pct=10.0 turn=15.7 floatmkt~146.3亿
  603958 哈森股份     board=1 pct=10.0 turn=4.2 floatmkt~30.9亿
  603985 恒润股份     board=1 pct=10.0 turn=2.0 floatmkt~52.3亿
  605069 正和生态     board=1 pct=10.0 turn=22.7 floatmkt~7.3亿
  605186 健麾信息     board=1 pct=10.0 turn=3.8 floatmkt~30.3亿
  605300 佳禾食品     board=1 pct=10.0 turn=3.0 floatmkt~54.7亿
  688031 星环科技     board=1 pct=10.0 turn=9.7 floatmkt~51.6亿
  000004 ???      board=1 pct=10.0 turn=15.4 floatmkt~16.9亿
  000029 深深房Ａ     board=1 pct=10.0 turn=1.3 floatmkt~134.6亿
  000032 深桑达Ａ     board=1 pct=10.0 turn=8.0 floatmkt~128.7亿
  000056 *ST皇庭    board=1 pct=10.0 turn=14.3 floatmkt~26.8亿
  000062 深圳华强     board=1 pct=10.0 turn=4.5 floatmkt~248.0亿
  000419 通程控股     board=1 pct=10.0 turn=11.2 floatmkt~32.3亿
  000506 招金黄金     board=1 pct=5.0 turn=2.3 floatmkt~40.5亿
  000564 供销大集     board=1 pct=10.1 turn=5.3 floatmkt~414.8亿
  000669 ST金鸿     board=1 pct=4.8 turn=1.5 floatmkt~14.4亿
  000785 居然智家     board=1 pct=10.1 turn=3.3 floatmkt~220.2亿
  000856 冀东装备     board=1 pct=10.0 turn=30.5 floatmkt~26.3亿
  000958 电投产融     board=1 pct=9.9 turn=3.7 floatmkt~342.4亿
  002059 云南旅游     board=1 pct=10.1 turn=3.4 floatmkt~55.3亿
  002131 利欧股份     board=1 pct=9.9 turn=24.2 floatmkt~254.6亿
  002173 创新医疗     board=1 pct=10.0 turn=12.3 floatmkt~39.7亿
  002189 中光学      board=1 pct=10.0 turn=5.4 floatmkt~55.3亿
  002197 证通电子     board=1 pct=5.0 turn=2.4 floatmkt~23.2亿
  002199 东晶电子     board=1 pct=10.0 turn=6.8 floatmkt~17.2亿
  002212 天融信      board=1 pct=10.0 turn=14.4 floatmkt~100.0亿
  002229 鸿博股份     board=1 pct=10.0 turn=8.3 floatmkt~63.6亿
  002253 川大智胜     board=1 pct=10.0 turn=13.8 floatmkt~27.1亿
  002335 科华数据     board=1 pct=10.0 turn=11.1 floatmkt~131.9亿
  002354 天娱数科     board=1 pct=10.0 turn=27.3 floatmkt~126.1亿
  002380 科远智慧     board=1 pct=10.0 turn=10.7 floatmkt~32.6亿
  002397 梦洁股份     board=1 pct=10.0 turn=16.2 floatmkt~20.3亿
  002528 *ST英飞    board=1 pct=5.2 turn=1.8 floatmkt~27.1亿
  002571 德力股份     board=1 pct=10.1 turn=14.4 floatmkt~13.4亿
  002599 盛通股份     board=1 pct=10.0 turn=21.8 floatmkt~36.2亿
  002602 世纪华通     board=1 pct=5.1 turn=1.6 floatmkt~378.1亿
  002630 *ST华西    board=1 pct=10.1 turn=12.8 floatmkt~44.6亿
  002693 双成药业     board=1 pct=10.0 turn=8.7 floatmkt~61.9亿
  002695 煌上煌      board=1 pct=10.0 turn=3.2 floatmkt~40.9亿
  002775 文科股份     board=1 pct=10.1 turn=4.5 floatmkt~16.6亿
  002808 ???      board=1 pct=5.1 turn=6.4 floatmkt~5.5亿
  002835 同为股份     board=1 pct=10.0 turn=8.5 floatmkt~26.0亿
  002872 ST天圣     board=1 pct=4.9 turn=4.1 floatmkt~8.2亿
  002879 长缆科技     board=1 pct=10.0 turn=10.4 floatmkt~23.1亿
  002899 英派斯      board=1 pct=10.0 turn=9.9 floatmkt~39.2亿
  002929 润建股份     board=1 pct=10.0 turn=4.1 floatmkt~83.2亿
  002951 金时科技     board=1 pct=5.0 turn=0.3 floatmkt~24.9亿
  002987 京北方      board=1 pct=10.0 turn=5.9 floatmkt~96.3亿
  003029 吉大正元     board=1 pct=10.0 turn=6.3 floatmkt~41.2亿
  003032 传智教育     board=1 pct=10.0 turn=13.9 floatmkt~23.6亿
  300022 吉峰科技     board=1 pct=10.0 turn=9.2 floatmkt~28.1亿

=== 2025-02-17  n=104 ===
  600126 杭钢股份     board=9 pct=10.0 turn=19.2 floatmkt~401.2亿
  600289 ST信通     board=6 pct=5.0 turn=1.7 floatmkt~23.4亿
  603956 威派格      board=5 pct=10.0 turn=23.6 floatmkt~45.8亿
  601177 杭齿前进     board=4 pct=10.0 turn=11.8 floatmkt~53.6亿
  603881 数据港      board=4 pct=10.0 turn=3.9 floatmkt~224.6亿
  603086 先达股份     board=3 pct=10.0 turn=24.3 floatmkt~24.9亿
  603825 ST华扬     board=3 pct=10.0 turn=1.1 floatmkt~46.2亿
  600421 ???      board=2 pct=10.0 turn=10.4 floatmkt~14.2亿
  600602 云赛智联     board=2 pct=10.0 turn=17.1 floatmkt~225.0亿
  603716 塞力医疗     board=2 pct=10.0 turn=1.8 floatmkt~20.4亿
  603879 永悦科技     board=2 pct=4.9 turn=3.6 floatmkt~14.1亿
