code,date,close,streak,yizi,open_gap,turn,amount,gain20,isST,board,bare_code,name
sz.002900,2025-04-09,16.58,2,False,-10.02,39.0633,966078942.94,66.97,0,0.1,002900,哈三联
sz.002901,2025-04-30,36.96,1,False,-0.83,1.732,180402158.54,4.82,0,0.1,002901,大博医疗
sz.002903,2025-03-18,20.27,1,False,4.72,18.5828,388594968.7,17.78,0,0.1,002903,宇环数控
sz.002903,2025-03-19,22.3,2,True,10.01,4.1384,96057183.1,24.1,0,0.1,002903,宇环数控
sz.002903,2025-03-20,24.53,3,True,10.0,7.9251,202347602.05,36.13,0,0.1,002903,宇环数控
sz.002905,2025-03-12,8.14,1,False,0.41,3.627,100450631.8,-2.63,0,0.1,002905,金逸影视
sz.002905,2025-03-13,8.95,2,True,9.95,3.5054,109632523.8,2.05,0,0.1,002905,金逸影视
sz.002905,2025-03-14,9.85,3,True,10.06,1.0077,34683997.3,18.82,0,0.1,002905,金逸影视
sz.002905,2025-03-17,10.84,4,False,-0.1,19.6612,672777495.28,36.87,0,0.1,002905,金逸影视
sz.002907,2025-03-21,14.39,1,True,10.02,2.9423,130783845.97,12.6,0,0.1,002907,华森制药
sz.002907,2025-04-22,14.48,1,False,0.0,3.415,146175521.28,2.48,0,0.1,002907,华森制药
sz.002908,2025-04-28,9.66,1,False,-0.57,15.062,445780734.52,8.3,0,0.1,002908,德生科技
sz.002909,2025-04-16,6.07,1,False,2.72,6.3819,146452509.98,5.02,0,0.1,002909,集泰股份
sz.002910,2025-03-14,9.96,1,False,0.88,19.2467,316801922.33,24.19,0,0.1,002910,庄园牧场
sz.002910,2025-04-22,10.73,1,False,-1.03,10.1086,180945586.5,21.79,0,0.1,002910,庄园牧场
sz.002915,2025-04-22,13.54,1,False,0.0,6.242,234124649.0,3.83,0,0.1,002915,中欣氟材
sz.002915,2025-04-23,14.89,2,False,3.32,13.5984,561279745.27,12.55,0,0.1,002915,中欣氟材
sz.002915,2025-04-24,16.38,3,False,7.39,17.152,783348359.92,21.78,0,0.1,002915,中欣氟材
sz.002915,2025-04-29,19.43,1,False,9.68,13.1648,723887306.0,50.85,0,0.1,002915,中欣氟材
sz.002915,2025-04-30,21.37,2,False,9.98,28.0758,1693430432.58,65.53,0,0.1,002915,中欣氟材
sz.002917,2025-03-03,15.86,1,False,3.05,9.0511,371432447.0,-13.8,0,0.1,002917,金奥博
sz.002921,2025-03-10,15.14,1,False,-0.87,8.0679,130223269.47,23.09,0,0.1,002921,联诚精密
sz.002921,2025-03-11,16.65,2,True,9.97,3.1132,57244248.45,34.17,0,0.1,002921,联诚精密
sz.002921,2025-03-12,18.32,3,False,6.49,21.0255,421188544.17,48.82,0,0.1,002921,联诚精密
sz.002923,2025-03-12,10.65,1,False,-0.31,9.5287,255898659.9,4.0,0,0.1,002923,润都股份
sz.002923,2025-03-14,11.28,1,False,-0.49,6.1097,173293642.72,10.7,0,0.1,002923,润都股份
sz.002923,2025-03-25,13.24,1,False,-1.83,8.6862,286911496.35,34.96,0,0.1,002923,润都股份
sz.002923,2025-03-28,15.29,1,False,-2.81,9.8838,382350330.01,60.1,0,0.1,002923,润都股份
sz.002923,2025-04-01,16.16,1,False,0.68,9.012,365044200.05,64.06,0,0.1,002923,润都股份
sz.002923,2025-04-02,17.78,2,False,2.17,14.1443,623298293.76,82.92,0,0.1,002923,润都股份
sz.002927,2025-03-12,15.76,1,False,0.63,8.1171,279867668.68,10.06,0,0.1,002927,泰永长征
sz.002927,2025-03-18,17.42,1,False,5.18,5.2392,198299447.95,25.96,0,0.1,002927,泰永长征
sz.002927,2025-03-19,19.16,2,False,9.99,15.714,639366894.21,36.47,0,0.1,002927,泰永长征
sz.002929,2025-04-21,50.93,1,False,0.02,6.7369,692378529.26,-13.09,0,0.1,002929,润建股份
