序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
1220,002558,巨人网络,19.46,3.8975,3,3,214239713.34,153603872.36,60635840.98,5646405732,1.073883880437,6.5531,376.5,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-06-13
1221,002553,南方精工,32.55,-1.3636,2,1,127460869.92,66885169.0,60575700.92,4497433210,1.346894952999,52.7126,81.64,日换手率达到20%的前5只证券,2025-08-21
1222,001319,铭科精技,33.7,9.9869,3,4,134349907.0,73802347.46,60547559.54,1289774323,4.694430526355,41.7846,21.39,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-03-07
1223,001339,智微智能,57.88,5.4281,3,1,105043391.0,44553376.24,60490014.76,1563128677,3.869803916341,37.3372,42.32,日换手率达到20%的前5只证券,2025-03-07
1224,300611,美力科技,34.02,20.0,4,2,130146450.0,69695493.0,60450957.0,1199779491,5.038505613195,25.8751,50.45,日涨幅达到15%的前5只证券,2025-10-15
1225,300491,通合科技,36.5,19.9869,4,3,133667048.59,73271139.8,60395908.79,1020053223,5.920858581513,19.8484,56.6,日涨幅达到15%的前5只证券,2025-08-28
1226,300938,信测标准,44.8,16.3636,2,2,139696255.39,79333045.87,60363209.52,2485428111,2.428684589703,28.6583,50.5,连续三个交易日内，涨幅偏离值累计达到30%的证券,2025-03-10
1227,002196,方正电机,9.36,-8.4149,3,1,153554683.01,93201000.6,60353682.41,3442490885,1.753198030908,21.6425,45.72,连续三个交易日内，跌幅偏离值累计达到20%的证券,2025-03-25
1228,002298,中电鑫龙,12.54,10.0,2,3,267834570.06,207529386.86,60305183.2,6162925976,0.978515455724,28.8154,82.85,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-09-24
1229,301308,江波龙,222.0,16.7254,3,2,291945403.87,231653142.31,60292261.56,6101012259,0.988233738935,10.6273,609.16,日涨幅达到15%的前5只证券,2025-10-24
1230,688521,芯原股份,99.8,11.2102,1,1,160932108.32,100666838.6,60265269.72,5977115400,1.008266792373,8.5027,497.49,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2025-03-05
1231,605178,时空科技,67.62,-8.8679,1,1,131220966.0,70977115.0,60243851.0,1507249051,3.996940715274,21.3398,67.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2025-11-11
1232,002537,海联金汇,8.02,-7.8161,2,0,86733565.57,26601495.0,60132070.57,2113401038,2.845274961486,21.6791,94.16,日跌幅偏离值达到7%的前5只证券,2025-06-06
1233,002369,卓翼科技,11.88,-9.1743,1,0,86583793.41,26487785.0,60096008.41,3086793909,1.946874659652,44.0687,67.24,日换手率达到20%的前5只证券,2025-03-03
1234,000877,天山股份,5.68,-6.2706,3,0,60398639.0,318151.0,60080488.0,1370862661,4.382677397907,3.1769,403.88,日振幅值达到15%的前5只证券,2025-07-23
1235,301421,波长光电,94.5,7.2401,2,1,118215484.18,58161008.73,60054475.45,2298111249,2.613210107915,51.1268,43.76,日换手率达到30%的前5只证券,2025-09-18
1236,000901,航天科技,20.98,10.0157,2,0,70494231.56,10447693.0,60046538.56,2048108354,2.931804776965,12.8531,167.46,日涨幅偏离值达到7%的前5只证券,2025-11-03
1237,002734,利民股份,18.23,-9.9753,2,1,86112230.9,26109616.29,60002614.61,1813751874,3.308204141379,25.4662,69.09,日跌幅偏离值达到7%的前5只证券,2025-06-20
1238,002416,爱施德,15.39,-10.0,1,0,59979531.0,0.0,59979531.0,2402505209,2.496541142775,12.2247,188.36,日跌幅偏离值达到7%的前5只证券,2025-01-03
1239,300959,线上线下,82.0,18.9785,5,3,210013718.48,150122399.3,59891319.18,1540008815,3.889024439123,36.6467,42.93,日涨幅达到15%的前5只证券,2025-09-17
1240,300959,线上线下,82.0,18.9785,5,3,210013718.48,150122399.3,59891319.18,1540008815,3.889024439123,36.6467,42.93,日换手率达到30%的前5只证券,2025-09-17
1241,002756,永兴材料,45.82,10.012,2,3,159871408.26,99980216.72,59891191.54,1744547119,3.433050955616,10.1494,178.12,日涨幅偏离值达到7%的前5只证券,2025-10-30
1242,603590,康辰药业,61.79,10.0053,1,0,59873625.06,0.0,59873625.06,845724601,7.079565261458,4.9959,97.16,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-09-01
1243,301536,星宸科技,63.97,19.9962,2,1,88798282.0,28972328.0,59825954.0,1326901394,4.508696295785,11.8625,119.36,日涨幅达到15%的前5只证券,2025-05-26
1244,603489,八方股份,32.27,4.0297,2,0,59805977.44,0.0,59805977.44,580774808,10.297619079924,7.665,75.84,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,2025-03-12
1245,000422,湖北宜化,13.9,-9.9741,2,0,64028991.64,4358760.26,59670231.38,2558975032,2.3318020158,16.6742,147.04,日跌幅偏离值达到7%的前5只证券,2025-03-28
1246,603127,昭衍新药,41.65,10.0106,1,0,59577836.2,0.0,59577836.2,4618194121,1.290067819564,9.4834,262.6,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-09-15
1247,688387,信科移动,11.11,15.4886,1,0,59553564.9,0.0,59553564.9,2296644300,2.593068717694,10.811,224.06,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2025-12-25
1248,600610,中毅达,10.6,9.9585,2,2,1082083200.0,1022583000.0,59500200.0,7676769200,0.775068240947,14.9624,75.13,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券,2025-03-26
1249,688136,科兴制药,44.19,15.6201,3,1,74953847.21,15622639.81,59331207.4,693561400,8.554571722129,8.3156,88.22,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2025-07-01
1250,300644,南京聚隆,33.59,20.0071,3,1,81534237.6,22240970.97,59293266.63,831013895,7.13505116903,29.862,29.53,日涨幅达到15%的前5只证券,2025-07-17
1251,301217,铜冠铜箔,25.08,20.0,2,1,100950007.0,41689483.0,59260524.0,2045625425,2.896939159817,10.826,207.92,日涨幅达到15%的前5只证券,2025-07-28
1252,600727,鲁北化工,9.07,2.9512,2,0,59212959.48,0.0,59212959.48,1416655215,4.179772103546,28.4017,47.94,有价格涨跌幅限制的日换手率达到20%的前五只证券,2025-03-26
1253,002759,ST天际,28.04,10.0039,3,5,441811915.23,382600994.62,59210920.61,3762884623,1.573551318796,27.9752,140.46,日涨幅偏离值达到7%的前5只证券,2025-10-30
1254,001270,铖昌科技,55.52,4.9924,3,2,121201775.06,62068978.5,59132796.56,1566763463,3.774200634394,4.4883,112.98,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,2025-12-10
1255,002549,凯美特气,27.32,9.9839,1,2,133853919.37,75047918.88,58806000.49,5603200083,1.049507417528,14.0944,189.15,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-10-13
1256,605060,联德股份,40.36,10.0027,1,0,58740024.4,0.0,58740024.4,1429179891,4.110051139811,5.9809,96.44,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-11-06
1257,002471,中超控股,4.12,-5.2874,4,2,152948668.5,94211928.4,58736740.1,1947191667,3.016484771142,35.1279,53.77,日换手率达到20%的前5只证券,2025-05-20
1258,002611,东方精工,21.36,2.201,1,0,143925663.55,85203884.48,58721779.07,17586014280,0.333911812734,31.4045,214.07,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-11-04
1259,605598,上海港湾,56.27,10.0098,2,1,71234292.2,12625885.0,58608407.2,567052214,10.335627963883,4.3789,136.75,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,2025-12-24
1260,600343,航天动力,25.65,-0.1946,1,0,58524538.0,0.0,58524538.0,4918014953,1.190003254551,29.7806,163.7,有价格涨跌幅限制的日换手率达到20%的前五只证券,2025-12-04
1261,001400,江顺科技,76.62,2.7629,3,2,80821957.14,22531576.06,58290381.08,382758491,15.229023640393,33.0687,11.49,日换手率达到20%的前5只证券,2025-12-26
