code,date,close,preclose,pct_chg,turn,amount,circ_mktcap_yi,board_number,is_first_board,ret_20d_prior,isST,board
sh.603032,2025-06-10,17.64,16.04,9.975062344139651,16.4317,646558875.23,39.34826434452918,3,False,17.16581446311176,0,MAIN
sh.603040,2025-05-06,38.16,34.69,10.002882675122503,5.1057,256832523.96,50.30309731476586,3,False,22.14788732394366,0,MAIN
sh.603042,2025-06-06,18.67,16.97,10.017678255745444,50.2484,1478929248.29,29.432364976596276,3,False,22.971014492753604,0,MAIN
sh.603056,2025-05-29,18.91,17.19,10.00581733566026,3.9285,749831823.01,190.86975257986506,3,False,28.37938760268859,0,MAIN
sh.603093,2025-06-05,17.31,15.74,9.97458703939007,7.2582,764555037.35,105.33672774930422,3,False,25.92000000000001,0,MAIN
sh.603123,2025-06-03,12.38,11.25,10.044444444444457,1.0248,82758220.16,80.75548415300545,3,False,46.8668407310705,0,MAIN
sh.603139,2025-06-12,27.45,24.95,10.020040080160332,1.5403,42231825.0,27.417921833409075,3,False,28.080082135523597,0,MAIN
sh.603155,2025-06-24,17.41,15.83,9.981048641819324,14.7664,800997015.52,54.24456980171199,3,False,17.958271236959767,0,MAIN
sh.603192,2025-05-23,23.55,21.41,9.995329285380672,9.1744,290044536.55,31.61455098426055,3,False,26.46190194920259,0,MAIN
sh.603226,2025-06-06,10.93,9.94,9.95975855130784,2.0984,81380808.73,38.7823144919939,3,False,35.23809523809525,0,MAIN
sh.603261,2025-05-08,16.87,16.07,4.978220286247681,2.4964,32368583.0,12.966104390322062,3,False,-15.197889182058045,1,MAIN
sh.603268,2025-05-06,39.0,37.14,5.0080775444264924,0.7764,37596000.0,48.42349304482225,3,False,6.144612746499001,1,MAIN
sh.603316,2025-06-30,8.99,8.17,10.03671970624236,1.3219,31404047.8,23.75674998108783,3,False,21.396731054977703,0,MAIN
sh.603332,2025-05-13,13.05,11.86,10.033726812816202,1.2397,34999656.3,28.232359683794463,3,False,41.02259215219974,0,MAIN
sh.603332,2025-05-27,19.77,17.97,10.016694490818034,19.6492,827573640.63,42.11742160647762,3,False,91.57782515991468,0,MAIN
sh.603332,2025-06-11,19.8,18.0,10.000000000000009,1.9963,85515012.0,42.83675399489055,3,False,51.77065767284992,0,MAIN
sh.603333,2025-05-26,7.48,6.8,10.000000000000009,0.537,24965996.0,46.491612662942266,3,False,17.039586919104988,0,MAIN
sh.603377,2025-06-10,3.09,2.94,5.102040816326525,0.591,13055800.02,22.091032182741117,3,False,-3.289473684210531,1,MAIN
sh.603389,2025-05-08,7.09,6.75,5.03703703703704,0.1355,2524040.0,18.62760147601476,3,False,30.05780346820808,1,MAIN
sh.603389,2025-06-24,15.41,14.68,4.972752043596729,0.2921,11828099.6,40.49332283464566,3,False,38.49056603773584,1,MAIN
sh.601008,2025-05-15,6.77,6.15,10.08130081300811,8.7418,728868936.81,83.37744363975382,3,False,-10.349854227405242,0,MAIN
