序号,营业部名称,上榜日,买入个股数,卖出个股数,买入总金额,卖出总金额,总买卖净额,买入股票,营业部代码
1256,中信建投证券股份有限公司上海青浦证券营业部,2025-01-10,0,1,,12832258.0,-12832258.0,力鼎光电,10021795
1257,平安证券股份有限公司杭州杭大路证券营业部,2025-01-14,0,1,231562.0,13109726.95,-12878164.95,天罡股份,10000136805
1258,方正证券股份有限公司杭州新业路证券营业部,2025-01-17,0,1,,12892400.0,-12892400.0,先达股份,10101331
1259,华福证券有限责任公司厦门仙岳路证券营业部,2025-01-17,0,1,,12914862.2,-12914862.2,红星发展,10158343
1260,广发证券股份有限公司郑州农业路证券营业部,2025-01-16,0,1,37234.0,13166627.0,-13129393.0,宁波东力,10031937
1261,国信证券股份有限公司福州五一中路证券营业部,2025-01-17,0,1,,13196600.0,-13196600.0,清溢光电,10046440
1262,国金证券股份有限公司成都温江区柳城商业新街证券营业部,2025-01-13,0,1,,13206968.0,-13206968.0,海鸥股份,10147650
1263,国泰君安证券股份有限公司南昌站前路营业部,2025-01-15,0,2,0.0,13224200.0,-13224200.0,康为世纪,10026928
1264,国泰君安证券股份有限公司南昌站前路证券营业部,2025-01-15,0,2,0.0,13224200.0,-13224200.0,壹网壹创,10026928
1265,浙商证券股份有限公司临海崇和路证券营业部,2025-01-15,0,1,23824.0,13339354.0,-13315530.0,大连友谊,10021968
1266,国投证券股份有限公司西安朱雀大街证券营业部,2025-01-15,0,1,0.0,13412998.6,-13412998.6,骏创科技,10561512
1267,海通证券股份有限公司上海徐汇区建国西路证券营业部,2025-01-17,0,1,0.0,13421718.0,-13421718.0,三德科技,10028440
1268,华泰证券股份有限公司厦门厦禾路证券营业部,2025-01-16,0,1,3913.0,13433687.0,-13429774.0,*ST冀凯,10206041
1269,东吴证券股份有限公司吴江盛泽镇西环路证券营业部,2025-01-13,0,1,,13500400.0,-13500400.0,长光华芯,10139147
1270,首创证券股份有限公司绍兴曲屯路证券营业部,2025-01-15,0,1,0.0,13558522.21,-13558522.21,鸿智科技,10941506
1271,中泰证券股份有限公司深圳分公司,2025-01-13,0,1,,13576556.79,-13576556.79,麦迪科技,10484895
1272,东莞证券股份有限公司北京分公司,2025-01-10,0,1,1364851.0,14958621.4,-13593770.4,海得控制,10484994
1273,东吴证券股份有限公司上海西藏南路证券营业部,2025-01-17,1,2,31915382.08,45509649.05,-13594266.97,天和磁材 康强电子 宁波东力,10143030
1274,中信建投证券股份有限公司十堰北京北路证券营业部,2025-01-15,0,1,,13632872.0,-13632872.0,德创环保,10028739
1275,深股通专用,2025-01-16,8,8,1203179286.14,1216842252.27,-13662966.13,*ST康佳A 利欧股份 建设工业 姚记科技 金安国纪 东方国信 天孚通信 壹网壹创 博实结,10634757
1276,中泰证券股份有限公司湖北分公司,2025-01-16,0,1,0.0,13691460.0,-13691460.0,ST汇洲,10484897
1277,长江证券股份有限公司长沙晚报大道证券营业部,2025-01-13,0,1,,13733860.0,-13733860.0,苏豪弘业,10121134
