code,date,open,high,low,close,preclose,volume,amount,turn,isST,pct,board,limit_price,is_limitup,streak,circ_mkt_est,close_20d_ago,ret_20d_pre,code6,name
sz.000908,2025-11-14,8.72,9.05,8.71,9.05,8.62,33653439.0,302191391.66,3.8252,1,0.05,ST,9.05,True,4,7900015467.42654,6.28,0.44108280254777066,000908,石药景峰
sh.600568,2025-11-17,2.4,2.4,2.33,2.4,2.29,40487600.0,96855722.0,2.4258,1,0.05,ST,2.4,True,4,3992733201.4180884,1.86,0.29032258064516125,600568,ST中珠
sh.601566,2025-11-17,13.84,13.84,12.96,13.84,12.58,20186247.0,277603126.48,3.5129,0,0.1,主板,13.84,True,4,7902391940.56193,8.84,0.5656108597285068,601566,九牧王
sh.603843,2025-11-17,8.25,8.25,7.98,8.25,7.86,28935478.0,238580059.9,4.1359,1,0.05,ST,8.25,True,4,5768516160.932324,5.54,0.4891696750902528,603843,*ST正平
sz.003041,2025-11-17,45.12,45.12,43.5,45.12,41.02,9471526.0,426474380.06,6.9224,0,0.1,主板,45.12,True,4,6160787877.903618,25.79,0.7495153160139589,003041,真爱美家
sh.600340,2025-11-18,3.16,3.31,2.72,3.31,3.01,1124697821.0,3465500568.93,28.8876,0,0.1,主板,3.31,True,4,11996498736.23977,2.13,0.5539906103286385,600340,*ST华幸
sz.002620,2025-11-18,7.25,7.25,7.25,7.25,6.9,584550.0,4237987.5,0.1854,1,0.05,ST,7.25,True,4,2285861650.4854364,6.07,0.19439868204283361,002620,*ST瑞和
sz.000798,2025-11-19,12.47,12.47,12.47,12.47,11.34,8440500.0,105253035.0,2.3072,0,0.1,主板,12.47,True,4,4561938063.453537,8.25,0.5115151515151517,000798,中水渔业
sz.001216,2025-11-19,21.69,22.67,21.69,22.67,20.61,24015203.0,539997824.77,9.7747,0,0.1,主板,22.67,True,4,5524443970.352032,15.74,0.4402795425667092,001216,华瓷股份
sh.603398,2025-11-20,9.75,9.96,9.1,9.96,9.49,42637790.0,412285721.36,9.8325,1,0.05,ST,9.96,True,4,4193091496.160692,8.19,0.21611721611721624,603398,*ST沐邦
sh.603216,2025-11-24,21.18,22.99,19.78,22.99,20.9,17141995.0,371418223.86,7.6977,0,0.1,主板,22.99,True,4,4825054546.942594,16.4,0.40182926829268295,603216,梦天家居
sz.000859,2025-11-24,8.76,9.55,8.62,9.55,8.68,202039700.0,1887096812.74,22.551,0,0.1,主板,9.55,True,4,8368129186.022793,6.56,0.4557926829268295,000859,国风新材
sh.600734,2025-11-25,5.27,5.59,5.21,5.59,5.08,280215085.0,1525297007.92,12.8666,0,0.1,主板,5.59,True,4,11854701381.25068,3.61,0.5484764542936289,600734,*ST实达
sz.000070,2025-11-26,13.65,13.92,12.87,13.92,12.65,229626993.0,3122149774.96,25.8391,0,0.1,主板,13.92,True,4,12083043817.160814,10.14,0.3727810650887573,000070,特发信息
sz.000892,2025-11-26,8.78,9.75,8.58,9.75,8.86,265683456.0,2444477354.29,37.3762,0,0.1,主板,9.75,True,4,6540197650.617238,6.52,0.4953987730061351,000892,欢瑞世纪
sz.002264,2025-11-26,10.79,10.79,10.79,10.79,9.81,6863100.0,74052849.0,1.0481,0,0.1,主板,10.79,True,4,7065437362.847057,6.91,0.56150506512301,002264,新 华 都
sz.000952,2025-11-27,9.73,10.42,9.7,10.42,9.47,116889445.0,1185582584.72,33.9799,0,0.1,主板,10.42,True,4,3489070258.358618,6.67,0.5622188905547227,000952,广济药业
sh.600828,2025-11-28,6.15,6.15,5.93,6.15,5.59,83336633.0,508640503.33,4.8134,0,0.1,主板,6.15,True,4,10567177116.591185,4.04,0.5222772277227723,600828,茂业商业
sz.000691,2025-11-28,9.94,9.94,9.94,9.94,9.47,777150.0,7724871.0,0.2404,1,0.05,ST,9.94,True,4,3213340682.196339,11.73,-0.1526001705029839,000691,亚太实业
sz.002702,2025-12-01,7.31,7.96,7.31,7.96,7.24,117613897.0,908745557.13,25.6383,0,0.1,主板,7.96,True,4,3544484451.5041947,4.92,0.6178861788617886,002702,海欣食品
sh.603933,2025-12-02,26.33,27.85,24.76,27.85,25.32,48171439.0,1288686041.04,23.2102,0,0.1,主板,27.85,True,4,5552240140.283151,22.81,0.22095572117492335,603933,睿能科技
sz.000078,2025-12-02,3.8,4.11,3.8,4.11,3.74,230532860.0,927974888.48,8.7774,0,0.1,主板,4.11,True,4,10572320829.402784,2.55,0.6117647058823532,000078,ST海王
sz.002632,2025-12-02,15.05,15.05,15.05,15.05,13.68,7010473.0,105507618.65,1.2048,0,0.1,主板,15.05,True,4,8757272464.30943,10.45,0.4401913875598087,002632,道明光学
sz.002792,2025-12-02,28.78,28.78,28.78,28.78,26.16,5059007.0,145598221.46,1.5174,0,0.1,主板,28.78,True,4,9595243275.339396,19.03,0.5123489227535469,002792,通宇通讯
sz.002565,2025-12-03,9.72,10.68,9.34,10.68,9.71,249848730.0,2552141631.76,23.5719,0,0.1,主板,10.68,True,4,10827050987.659035,7.55,0.4145695364238411,002565,顺灏股份
sh.603696,2025-12-05,17.34,19.47,17.34,19.47,17.7,24589213.0,462212262.87,10.4546,0,0.1,主板,19.47,True,4,4421137708.472826,13.55,0.4369003690036899,603696,安记食品
sz.002300,2025-12-05,9.33,10.36,8.97,10.36,9.42,184808850.0,1759083541.98,25.5872,0,0.1,主板,10.36,True,4,6874857514.616683,7.86,0.31806615776081415,002300,太阳电缆
sh.603386,2025-12-08,16.7,18.32,15.51,18.32,16.65,86558756.0,1415387474.79,26.5255,0,0.1,主板,18.32,True,4,5335950216.923337,12.79,0.4323690383111807,603386,骏亚科技
sz.002589,2025-12-08,4.69,4.69,4.05,4.69,4.26,551018403.0,2515933619.17,40.3502,0,0.1,主板,4.69,True,4,6235244482.48088,2.99,0.5685618729096991,002589,瑞康医药
sz.002682,2025-12-08,8.67,8.67,8.67,8.67,7.88,4409015.0,38226160.05,0.784,0,0.1,主板,8.67,True,4,4875785720.663264,5.18,0.6737451737451738,002682,龙洲股份
sh.600693,2025-12-10,13.56,13.56,13.56,13.56,12.33,4398461.0,59643131.16,0.5062,0,0.1,主板,13.56,True,4,11782522947.451601,9.09,0.4917491749174918,600693,东百集团
sz.000905,2025-12-10,15.96,15.97,15.09,15.97,14.52,144994297.0,2288576749.36,19.5461,0,0.1,主板,15.97,True,4,11708610665.861732,10.8,0.47870370370370363,000905,厦门港务
sz.002235,2025-12-11,13.6,13.6,12.87,13.6,12.36,112685298.0,1514420780.57,20.3558,0,0.1,主板,13.6,True,4,7439750737.234597,7.77,0.7503217503217503,002235,安妮股份
sh.603601,2025-12-15,8.84,9.27,8.5,9.27,8.43,363584332.0,3288328897.87,35.2939,0,0.1,主板,9.27,True,4,9316989332.06588,4.95,0.8727272727272726,603601,再升科技
sz.001270,2025-12-15,64.28,64.28,64.28,64.28,61.22,153000.0,9834840.0,0.0752,1,0.05,ST,64.28,True,4,13078244680.851063,45.0,0.4284444444444444,001270,铖昌科技
sh.600165,2025-12-16,3.45,3.45,3.45,3.45,3.29,21300.0,73485.0,0.0029,1,0.05,ST,3.45,True,4,2533965517.2413797,4.29,-0.19580419580419572,600165,宁科生物
sh.600865,2025-12-16,14.38,14.38,14.38,14.38,13.07,8548274.0,122924180.12,2.272,0,0.1,主板,14.38,True,4,5410395251.760564,9.52,0.5105042016806725,600865,百大集团
sz.000890,2025-12-16,7.11,7.11,7.11,7.11,6.46,22228025.0,158041257.75,5.2988,0,0.1,主板,7.11,True,4,2982585826.0360837,4.8,0.4812500000000002,000890,法尔胜
sz.001208,2025-12-16,19.45,19.77,19.15,19.77,17.97,71982124.0,1405370672.55,27.3283,0,0.1,主板,19.77,True,4,5142547002.740749,12.04,0.6420265780730898,001208,华菱线缆
sz.001331,2025-12-17,21.6,21.6,21.6,21.6,19.64,362065.0,7820604.0,0.2157,0,0.1,主板,21.6,True,4,3625685674.547983,14.05,0.5373665480427046,001331,胜通能源
sz.002788,2025-12-22,15.98,16.82,15.64,16.82,15.29,102722156.0,1702005739.64,26.9051,0,0.1,主板,16.82,True,4,6325959537.931471,9.32,0.8047210300429184,002788,鹭燕医药
sz.002910,2025-12-22,13.69,15.02,13.69,15.02,13.65,34371056.0,504724043.12,20.0928,0,0.1,主板,15.02,True,4,2511964699.394808,10.51,0.42911512844909616,002910,庄园牧场
sz.002969,2025-12-22,6.68,6.68,6.68,6.68,6.07,1596800.0,10666624.0,0.1682,0,0.1,主板,6.68,True,4,6341631391.200952,3.65,0.8301369863013699,002969,嘉美包装
sz.000638,2025-12-23,5.12,5.27,5.12,5.27,5.02,6347928.0,33119418.56,2.0468,1,0.05,ST,5.27,True,4,1618107219.0736759,6.31,-0.16481774960380347,000638,
sz.002361,2025-12-23,9.88,9.89,9.51,9.89,8.99,336538780.0,3318831446.8,41.593,0,0.1,主板,9.89,True,4,7979302879.811506,6.44,0.5357142857142858,002361,神剑股份
sz.002163,2025-12-24,18.98,19.35,18.61,19.35,17.59,126757048.0,2410140116.95,15.7747,0,0.1,主板,19.35,True,4,15278516339.137987,13.72,0.41034985422740533,002163,海南发展
sh.600179,2025-12-25,5.9,5.95,5.5,5.95,5.41,166199404.0,968402967.09,4.3031,0,0.1,主板,5.95,True,4,22504774862.07618,4.02,0.4800995024875623,600179,安通控股
sh.603163,2025-12-25,79.99,85.92,77.89,85.92,78.11,7226490.0,586472850.99,7.2265,0,0.1,主板,85.92,True,4,8115586397.149381,52.77,0.6281978396816372,603163,圣晖集成
sh.603268,2025-12-25,82.84,89.26,82.7,89.26,85.01,5693200.0,492496246.4,4.585,1,0.05,ST,89.26,True,4,10741466660.8506,69.68,0.28099885189437424,603268,松发股份
sz.000551,2025-12-25,15.18,16.68,15.16,16.68,15.16,132242622.0,2166040578.27,27.3804,0,0.1,主板,16.68,True,4,7910916488.692641,10.69,0.5603367633302152,000551,创元科技
sz.002228,2025-12-25,6.55,6.55,6.55,6.55,5.95,13835369.0,90621666.95,1.1441,0,0.1,主板,6.55,True,4,7920782007.691637,4.15,0.5783132530120481,002228,合兴包装
sz.002306,2025-12-25,2.08,2.13,2.04,2.13,2.03,86983518.0,182619533.66,10.687,1,0.05,ST,2.13,True,4,1708800726.6772714,1.96,0.08673469387755106,002306,ST云网
sz.002789,2025-12-25,9.53,10.0,9.53,10.0,9.52,3805410.0,37622540.2,2.4321,1,0.05,ST,10.0,True,4,1546915842.2762222,10.59,-0.05571293673276678,002789,*ST建艺
sh.600118,2025-12-29,81.0,88.0,75.96,88.0,80.0,158889696.0,13355947463.5,13.4369,0,0.1,主板,88.0,True,4,99397535618.3346,43.42,1.0267157991708888,600118,中国卫星
