code,date,open,high,low,close,preclose,volume,amount,turn,isST,board,limitpct,limit_price,is_zt,pct_chg
sh.600107,2025-12-18,6.09,6.44,6.08,6.44,6.13,5600901.0,35434785.32,1.5558,1,MAIN,0.05,6.44,True,5.057096247960846
sh.600107,2025-12-19,6.6,6.76,6.5,6.76,6.44,7878100.0,52780995.0,2.1884,1,MAIN,0.05,6.76,True,4.968944099378869
sh.600107,2025-12-22,7.1,7.1,6.98,7.1,6.76,9145900.0,64741176.0,2.5405,1,MAIN,0.05,7.1,True,5.02958579881656
sh.600107,2025-12-30,6.53,6.86,6.49,6.86,6.53,4798401.0,32503747.86,1.3329,1,MAIN,0.05,6.86,True,5.053598774885137
sh.600108,2025-04-08,2.96,3.25,2.84,3.25,2.95,212248654.0,660092213.26,10.9018,0,MAIN,0.1,3.25,True,10.169491525423723
sh.600108,2025-12-19,3.0,3.3,2.99,3.3,3.0,157505498.0,504774107.53,8.09,0,MAIN,0.1,3.3,True,9.999999999999986
sh.600110,2025-06-04,3.28,3.59,3.28,3.59,3.26,42021748.0,145727709.38,2.4218,0,MAIN,0.1,3.59,True,10.122699386503076
sh.600110,2025-06-17,3.5,3.86,3.49,3.86,3.51,70455223.0,263300801.02,4.0604,0,MAIN,0.1,3.86,True,9.971509971509974
sh.600110,2025-06-18,3.93,4.25,3.8,4.25,3.86,190251377.0,759463870.12,10.9644,0,MAIN,0.1,4.25,True,10.103626943005196
sh.600110,2025-06-19,4.47,4.68,4.34,4.68,4.25,256623886.0,1183668888.45,14.7895,0,MAIN,0.1,4.68,True,10.11764705882352
sh.600110,2025-06-20,4.95,5.15,4.89,5.15,4.68,132291229.0,673904817.15,7.6241,0,MAIN,0.1,5.15,True,10.042735042735051
sh.600110,2025-06-23,5.15,5.67,5.0,5.67,5.15,478171912.0,2556209090.95,27.5575,0,MAIN,0.1,5.67,True,10.097087378640769
sh.600110,2025-06-24,5.52,6.24,5.52,6.24,5.67,456876421.0,2760411376.79,26.3302,0,MAIN,0.1,6.24,True,10.052910052910068
