code,date,open,high,low,close,preclose,volume,amount,turn,isST,limit_pct,limit_price,is_zhangting,pct_chg
sh.600289,2025-04-22,6.15,6.69,6.15,6.69,6.37,22177628.0,144409014.63,3.9188,1,0.05,6.69,True,5.0235478806907485
sh.600289,2025-04-28,5.75,6.08,5.75,6.08,5.79,20986551.0,126586126.28,3.7084,1,0.05,6.08,True,5.0086355785837755
sh.600292,2025-04-14,13.66,14.74,13.53,14.74,13.4,77334414.0,1100849311.15,9.9043,0,0.1,14.74,True,10.000000000000009
sh.600300,2025-03-14,3.17,3.49,3.17,3.49,3.17,146152960.0,494942888.86,9.0377,0,0.1,3.49,True,10.094637223974768
sh.600300,2025-04-08,3.39,3.7,3.34,3.7,3.36,197696990.0,707753231.23,12.2251,0,0.1,3.7,True,10.119047619047628
sh.600300,2025-04-16,3.72,4.09,3.7,4.09,3.72,184846055.0,737338393.72,11.4304,0,0.1,4.09,True,9.946236559139777
sh.600300,2025-04-21,4.0,4.41,3.99,4.41,4.01,286271581.0,1234359629.77,17.7023,0,0.1,4.41,True,9.975062344139651
sh.600301,2025-03-14,26.75,26.75,26.08,26.75,24.32,42195779.0,1124683256.56,15.3252,0,0.1,26.75,True,9.991776315789469
sh.600301,2025-04-14,20.2,21.79,20.2,21.79,19.81,19559783.0,413771976.65,7.104,0,0.1,21.79,True,9.994952044422
sh.600302,2025-03-07,5.1,5.67,5.06,5.67,5.15,36375701.0,197754821.86,10.5129,0,0.1,5.67,True,10.097087378640769
sh.600302,2025-03-26,5.47,6.04,5.45,6.04,5.49,16830600.0,98565421.34,4.8642,0,0.1,6.04,True,10.018214936247727
sh.600302,2025-03-27,6.64,6.64,6.64,6.64,6.04,10051017.0,66738752.88,2.9048,0,0.1,6.64,True,9.93377483443707
sh.600303,2025-03-07,3.02,3.11,3.02,3.11,2.96,22038175.0,68144487.25,3.262,1,0.05,3.11,True,5.067567567567566
sh.600303,2025-03-11,3.07,3.27,3.06,3.27,3.11,17805900.0,56781297.5,2.6356,1,0.05,3.27,True,5.144694533762073
sh.600303,2025-04-10,3.1,3.18,3.06,3.18,3.03,10983500.0,34584946.0,1.6257,1,0.05,3.18,True,4.950495049504955
