date,wave,ticker,name,group,t0_date,t0_close,last_date,last_close,ret_asof_now,ret_max_seen,n_days_avail
2026-07-03,A,000831,中国稀土,probe,2026-07-03,54.45,2026-08-21,56.33,3.45,15.32,35
2026-07-03,A,688234,天岳先进,watch,2026-07-03,145.6,2026-08-21,109.95,-24.48,7.6,35
2026-07-03,A,002466,天齐锂业,watch,2026-07-03,58.66,2026-08-21,48.38,-17.52,0.9,35
2026-07-03,A,300627,华测导航,reject,2026-07-03,28.6,2026-08-21,27.13,-5.14,1.71,35
2026-07-03,A,002703,浙江世宝,probe,2026-07-03,15.08,2026-08-21,13.65,-9.48,8.42,35
2026-07-03,A,688071,华依科技,reject,2026-07-03,36.21,2026-08-21,33.67,-7.01,11.27,35
2026-07-03,A,300552,万集科技,reject,2026-07-03,23.93,2026-08-21,20.22,-15.5,3.97,35
2026-07-03,A,300709,精研科技,watch,2026-07-03,50.8,2026-08-21,40.76,-19.76,0.0,35
2026-07-03,A,600114,东睦股份,watch,2026-07-03,37.73,2026-08-21,30.22,-19.9,0.0,35
2026-07-03,A,600456,宝钛股份,reject,2026-07-03,28.07,2026-08-21,27.35,-2.57,3.67,35
2026-07-03,A,688127,蓝特光学,watch,2026-07-03,84.3,2026-08-21,65.73,-22.03,0.0,35
2026-07-03,A,603191,望变电气,watch,2026-07-03,15.82,2026-08-21,14.73,-6.89,7.08,35
2026-07-03,A,600577,精达股份,reject,2026-07-03,9.69,2026-08-21,8.66,-10.63,0.0,35
2026-07-03,A,688190,云路股份,reject,2026-07-03,87.0,2026-08-21,73.06,-16.02,0.0,35
2026-07-03,A,002533,金杯电工,reject,2026-07-03,11.03,2026-08-21,11.22,1.72,7.98,35
2026-07-03,A,688102,斯瑞新材,probe,2026-07-03,48.54,2026-08-21,34.16,-29.63,0.0,35
2026-07-03,A,300045,华力创通,reject,2026-07-03,17.7,2026-08-21,12.75,-27.97,0.0,35
2026-07-03,A,688239,航宇科技,probe,2026-07-03,62.19,2026-08-21,48.21,-22.48,0.0,35
2026-07-03,A,002935,天奥电子,probe,2026-07-03,23.2,2026-08-21,15.94,-31.29,0.0,35
2026-07-03,A,600399,抚顺特钢,reject,2026-07-03,4.24,2026-08-21,4.33,2.12,3.54,35
2026-07-03,A,300395,菲利华,watch,2026-07-03,114.02,2026-08-21,87.99,-22.83,0.0,35
2026-07-03,A,002025,航天电器,probe,2026-07-03,83.55,2026-08-21,62.67,-24.99,9.99,35
2026-07-03,A,688582,芯动联科,reject,2026-07-03,60.0,2026-08-21,41.6,-30.67,0.05,35
2026-07-06,A,002428,云南锗业,reject,2026-07-06,105.31,2026-08-21,100.88,-4.21,4.45,34
2026-07-06,A,301128,强瑞技术,watch,2026-07-06,150.51,2026-08-21,109.48,-27.26,0.0,34
2026-07-06,A,002171,楚江新材,reject,2026-07-06,12.73,2026-08-21,9.65,-24.19,0.24,34
2026-07-06,A,002130,沃尔核材,watch,2026-07-06,18.34,2026-08-21,16.29,-11.18,0.0,34
2026-07-06,A,002993,奥海科技,watch,2026-07-06,67.82,2026-08-21,38.38,-43.41,0.0,34
2026-07-06,A,688484,南芯科技,reject,2026-07-06,46.05,2026-08-21,36.11,-21.59,2.84,34
2026-07-06,A,300019,硅宝科技,reject,2026-07-06,18.77,2026-08-21,14.54,-22.54,14.28,34
2026-07-06,A,688456,有研粉材,watch,2026-07-06,119.61,2026-08-21,82.9,-30.69,0.0,34
2026-07-06,A,688716,中研股份,reject,2026-07-06,37.2,2026-08-21,27.69,-25.56,0.0,34
2026-07-06,A,301076,新瀚新材,reject,2026-07-06,27.82,2026-08-21,20.4,-26.67,0.0,34
2026-07-06,A,000708,中信特钢,reject,2026-07-06,13.5,2026-08-21,13.64,1.04,11.04,34
2026-07-06,A,603505,金石资源,watch,2026-07-06,20.18,2026-08-21,15.28,-24.28,0.0,34
2026-07-06,A,601137,博威合金,reject,2026-07-06,21.87,2026-08-21,19.19,-12.25,0.0,34
2026-07-06,A,688131,皓元医药,probe,2026-07-06,92.11,2026-08-21,97.39,5.73,9.02,34
