序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,sina_symbol
1937,600379,宝光股份,0.1172,700176652.35,9.5568950579,31.5618,38694427.99,3.98,219.5668,2.446773298748,4.8807,0.081070905406,21.8710883683,电网设备,2026-08-20,sh600379
1938,600346,恒力石化,1.02,98257701611.02,-5.4701076371,-0.3307,7205753072.78,136.25,-15.7187,10.220498124996,10.29,0.497207008303,13.9588598285,炼化及贸易,2026-08-20,sh600346
1939,600315,上海家化,0.57,3790925984.05,8.9867151443,11.1648,380974528.05,43.35,-28.4936,10.513055508238,5.41,0.590464272818,66.3238046493,化妆品,2026-08-20,sh600315
1940,600312,平高电气,0.602,5374387439.86,-5.6390449045,19.3674,816852368.99,22.87,-3.0953,8.744982084035,7.01,-0.508092845685,29.7540277297,电网设备,2026-08-20,sh600312
1941,600305,恒顺醋业,0.11,1224329932.59,8.7949327111,-11.1975,120800704.87,9.21,-18.7625,3.022444665377,3.61,-0.0075910665,36.0823113518,调味发酵品Ⅱ,2026-08-20,sh600305
1942,600276,恒瑞医药,0.68,15455583728.11,-1.9390022608,-10.1411,4465439428.1,0.34,-4.342,9.712895713484,8.04,0.299373818788,86.3263460861,化学制药,2026-08-20,sh600276
1943,600268,国电南自,0.19,3946999307.44,-7.815562383,41.6042,193821196.79,22.01,260.8851,3.680078793299,5.06,-0.539815418276,28.6075299297,电网设备,2026-08-20,sh600268
1944,600233,圆通速递,0.9276,38893318775.44,8.3885031634,7.2246,3175039883.44,73.44,30.4833,10.852221518917,8.72,1.156557510542,12.0387327621,物流,2026-08-20,sh600233
1945,600219,南山铝业,0.2,18574161325.39,7.5268313796,4.8606,2247326443.12,-14.4,4.1586,4.341111133494,4.41,0.18383921716,21.298204911,工业金属,2026-08-20,sh600219
1946,600132,重庆啤酒,1.64,8575903111.57,-2.9790087323,-2.8486,795919088.84,-7.98,-18.1674,3.272851352985,47.54,5.898162732568,50.1638027739,非白酒,2026-08-20,sh600132
1947,600118,中国卫星,0.03,1885317136.19,42.7240432654,109.5047,34565755.4,213.3620952489,280.9688,5.416211397858,0.54,-0.237377390119,18.752860868,航天装备Ⅱ,2026-08-20,sh600118
1948,600111,北方稀土,0.5679,25798892982.11,36.747397269,17.5485,2053166573.28,120.46,23.7197,7.262595571511,8.02,0.334237676806,15.0254626695,小金属,2026-08-20,sh600111
1949,600105,永鼎股份,0.344,3339017624.9,47.7515331414,68.0501,503450137.78,58.06,116.9818,2.4890568498,14.77,0.23697454267,27.8880348234,通信设备,2026-08-20,sh600105
1950,600010,包钢股份,0.0062,28034371304.31,-10.5151522617,10.564,279377597.15,84.61,260.38,1.158553696292,0.54,0.054735294349,13.8850658864,普钢,2026-08-20,sh600010
1951,600009,上海机场,0.49,6502799586.18,2.352023716,3.333,1216000536.71,16.46,10.4549,17.33177913756,2.82,0.912191745067,24.737394856,航空机场,2026-08-20,sh600009
1985,301689,电科思仪,0.2,965708752.33,-2.7838098251,,166759603.16,4.0,,3.327826794073,6.26,-0.089695110703,50.7007039709,通用设备,2026-08-20,sz301689
1986,301617,博苑新材,0.5617,774420710.33,3.700533685,-2.0043,97586580.81,-1.47,-8.79,10.368922580526,5.5,-0.202101550492,20.0361581102,化学制品,2026-08-20,sz301617
1987,301611,珂玛科技,0.23,592213616.61,13.8002239754,18.918,98247047.71,-42.83,14.1047,4.25569515039,5.35,0.085355131606,45.5942749266,半导体,2026-08-20,sz301611
1988,301575,艾芬达,0.49,625202084.58,23.718716621,6.7901,59018020.04,-1.27,2.9245,11.670357895878,4.15,0.484350542946,23.7752789132,家居用品,2026-08-20,sz301575
1989,301526,国际复材,0.1696,4964162070.47,19.5238327937,24.149,639665974.44,176.56,36.7478,2.321342781616,7.46,0.157343677411,27.5869595513,玻璃玻纤,2026-08-20,sz301526
1990,301500,飞南资源,1.1583,9980677960.82,52.543704291,19.5829,648670469.17,307.31,-39.9979,9.620982646288,12.78,-1.156676815991,12.1902323627,环境治理,2026-08-20,sz301500
1991,301377,鼎泰高科,1.66,1942851207.14,114.8532705135,38.6454,679131331.85,325.12,60.6279,7.591405318093,23.27,-0.110535461848,55.9236303489,通用设备,2026-08-20,sz301377
1992,301371,敷尔佳,0.49,1156139070.47,33.9499635147,10.8616,255985054.92,11.46,-50.785,10.641846249635,4.45,0.32200837967,76.8814731405,化妆品,2026-08-20,sz301371
1993,301358,湖南裕能,3.62,34877330172.01,142.915947481,33.0524,2909817706.47,853.51,14.5792,24.034836368716,17.39,-2.079666752094,14.8604117606,电池,2026-08-20,sz301358
1994,301310,鑫宏业,0.297,2478284273.22,53.4944682272,27.4447,56714920.52,1.58,-46.5208,12.324296530096,2.41,-1.470464268536,10.1310251593,汽车零部件,2026-08-20,sz301310
1995,301221,光庭信息,-0.227,318979128.57,15.8208992132,-3.8634,-29437247.61,-168.59,-638.5051,15.507040696717,-1.46,-0.490050179954,30.3539427655,汽车零部件,2026-08-20,sz301221
1996,301002,崧盛股份,0.28,587162516.82,30.6523836836,13.6036,37819984.43,5121.12,47.2881,8.295367687205,3.58,-0.211283004907,25.5542239145,电网设备,2026-08-20,sz301002
1997,300970,华绿生物,0.2948,693881412.3,39.1838142437,-32.4944,46096252.7,185.85,-158.053,10.269831900237,2.79,1.042108510891,15.4400576007,种植业,2026-08-20,sz300970
1998,300776,帝尔激光,1.11,1029395546.77,-12.0187773753,43.5811,305844250.82,-6.38,-13.1192,17.298288954018,7.3,1.256953721573,45.2559708813,光伏设备,2026-08-20,sz300776
1999,300732,设研院,-0.12,754508848.37,-4.54201002,-10.2067,-43739551.85,-73.26,-441.7007,7.453658314731,-1.57,-0.069563170368,21.1359334015,工程咨询服务Ⅱ,2026-08-20,sz300732
2000,300667,必创科技,0.03,337160132.8,8.2676680127,84.367,7022702.97,170.19,792.0899,5.08623330175,0.68,-0.171039075722,34.4651780402,通用设备,2026-08-20,sz300667
2001,300623,捷捷微电,0.36,2113864472.06,32.0771545931,29.8277,297724284.19,20.61,97.0291,7.461264246458,4.82,0.723680735648,30.668922068,半导体,2026-08-20,sz300623
2002,300540,蜀道装备,0.1512,299925556.92,46.3331918464,99.9986,34017702.89,235.11,76.8505,5.076238100638,2.97,-0.179700917867,31.0885312634,专用设备,2026-08-20,sz300540
2003,300487,蓝晓科技,0.83,1378036255.21,10.4700247046,27.0109,420519056.45,-5.4,31.1551,8.989113019475,9.09,0.870090919568,53.2784589284,塑料,2026-08-20,sz300487
2004,300465,高伟达,0.0207,470445168.2,-9.5667467331,252.0957,9189067.26,-33.54,264.7038,1.56109512677,1.34,-0.187453184772,21.0200710655,软件开发,2026-08-20,sz300465
2005,300418,昆仑万维,0.87,5359200218.63,43.5498435095,8.5455,1088006458.02,227.17,322.6631,11.517927746302,7.92,-0.363564008277,65.5753851484,数字媒体,2026-08-20,sz300418
2006,300387,富邦科技,0.1908,674241111.44,-1.5127889328,-2.1831,55150223.68,-9.91,7.3494,5.007903201575,3.77,0.065665096427,26.1316604106,农化制品,2026-08-20,sz300387
2007,300377,赢时胜,-0.1044,629535497.27,8.9023812752,23.0049,-78375103.82,2.7,110.6229,3.216230064196,-3.19,-0.37450187416,32.3538412819,软件开发,2026-08-20,sz300377
2008,300349,金卡智能,0.2,1404090670.71,-8.7459588989,30.4951,81953211.0,-39.42,75.7702,10.730451966977,1.81,-0.098859043383,35.7105941418,通用设备,2026-08-20,sz300349
2009,300319,麦捷科技,0.1701,1984879018.7,10.5330097309,29.6562,150961786.69,1.12,120.1966,5.567032999344,3.05,0.271148103352,17.0610628355,元件,2026-08-20,sz300319
2010,300211,*ST亿通,-0.0583,81965910.38,-6.6846820445,37.8764,-17731253.56,-36.87,50.4241,1.430389676958,-4.0,-0.087765652029,48.699660072,通信服务,2026-08-20,sz300211
2011,300153,科泰电源,0.1737,1498393653.78,110.8054218234,43.1409,55583901.11,131.66,73.2446,2.958823004094,5.86,0.147826024219,13.7101804323,其他电源设备Ⅱ,2026-08-20,sz300153
2012,300014,亿纬锂能,1.57,45691465298.91,62.2015350628,20.9466,3301230562.92,105.66,28.2529,23.083164040306,7.24,-0.178494119176,14.3107269459,电池,2026-08-20,sz300014
2014,003009,中天火箭,0.1048,382564444.67,27.0460152283,51.3744,16934481.56,329.31,157.5048,12.306228367482,0.96,-0.328212528805,21.3399795871,航天装备Ⅱ,2026-08-20,sz003009
2015,003008,开普检测,0.31,96223547.96,-13.5700014032,48.4916,32722657.65,-19.78,269.1903,10.024348137308,3.06,0.473064569519,63.1520049908,专业服务,2026-08-20,sz003008
2016,002990,盛视科技,0.42,734282227.88,33.7342910379,123.3099,106660446.72,342.91,2599.8877,9.828604530012,4.2,-5.030791055905,41.5296543674,计算机设备,2026-08-20,sz002990
2017,002983,芯瑞达,0.23,510006882.0,3.8365043502,25.5667,50818610.3,-23.61,-33.17,6.059827139232,3.68,0.322379496505,21.5796806777,光学光电子,2026-08-20,sz002983
2018,002956,西麦食品,0.4787,1402268158.77,22.0320423693,-29.7949,148210740.83,81.88,-53.7589,5.264874623831,8.8,0.769759770476,44.0338739169,休闲食品,2026-08-20,sz002956
2019,002906,华阳集团,0.76,6923087857.78,30.3613116605,23.6377,401307253.02,17.55,42.1063,13.588415409492,5.61,0.670344181056,16.824066706,汽车零部件,2026-08-20,sz002906
2020,002887,绿茵生态,0.1438,181311060.72,-19.3551182325,2.2156,43999322.89,-25.28,-90.7325,7.495163976399,1.81,-0.243900004364,44.7678597752,环境治理,2026-08-20,sz002887
2021,002860,星帅尔,0.28,1094029547.61,-3.3883313773,15.0352,100266597.47,-17.6,-24.6337,6.690808516083,4.3,0.373794883613,17.2740232915,家电零部件Ⅱ,2026-08-20,sz002860
2022,002847,盐津铺子,1.56,3070218410.03,4.4079143594,-6.0071,425281605.55,14.1,-15.6903,7.77354194978,19.51,2.171899351509,32.219531075,休闲食品,2026-08-20,sz002847
2023,002824,和胜股份,0.28,2380778710.32,44.6399754766,34.6957,88271694.83,102.82,158.971,7.544205377809,3.7,1.223553350501,13.7096214438,工业金属,2026-08-20,sz002824
2024,002760,凤形股份,0.07,331408071.97,12.820146809,24.1131,7783088.13,6.9,-83.1658,7.763211126078,0.93,-1.007981912479,18.6498928232,通用设备,2026-08-20,sz002760
2025,002718,友邦吊顶,-0.0069,203663116.14,-20.2648544661,24.4861,-898027.32,-108.84,-298.0344,7.095899958353,-0.1,-0.101733854262,24.4659119896,装修建材,2026-08-20,sz002718
2026,002667,*ST威领,-0.0752,271966623.17,219.513004267,-11.8772,-19590321.91,-1884.77,-317.34,-0.202244568837,,0.491386817222,63.6378465573,专用设备,2026-08-20,sz002667
2027,002660,茂硕电源,-0.0853,632848616.68,-2.9902595462,18.887,-30436570.62,-35.09,95.3697,2.792535112111,-3.01,-0.137266488091,16.5127404368,消费电子,2026-08-20,sz002660
2028,002644,佛慈制药,0.0778,440320280.34,2.5513960453,8.1158,39738459.63,32.0,-24.6413,3.646438482406,2.15,0.314025595968,33.1939966601,中药Ⅱ,2026-08-20,sz002644
