,upbig_600183,pct_600183,upbig_002463,pct_002463,upbig_002916,pct_002916,upbig_300476,pct_300476,upbig_002938,pct_002938,upbig_300502,pct_300502,upbig_300308,pct_300308,upbig_300394,pct_300394,upbig_300408,pct_300408,upbig_301018,pct_301018,upbig_002837,pct_002837,theme_count,theme_basket_ret_eq
2026-05-20,0,-0.21951706246258196,0,0.9551656920077978,0,0.47532546170148127,0,-0.8249747759511039,0,-4.150579150579137,0,2.7007835455435947,0,0.6796116504854455,0,-1.1048870001931665,0,-0.6007872384503954,0,13.06840264282938,0,5.876367336555566,0,1.5322646455897162
2026-05-21,0,-2.3599999999999954,0,0.11585248117398361,0,2.995148702805306,0,-0.837821663674454,0,4.72194248629294,0,-3.736022697470376,0,-4.210221793635482,0,-6.066643228251101,0,2.615673197165491,0,-5.345020194208128,0,-7.268140317155214,0,-1.7613866388142754
2026-05-22,1,10.006145022531744,1,9.999999999999986,1,9.99970743980574,0,13.307181653590838,1,10.001068490223307,0,7.204775113929074,0,4.493929570942479,0,10.463278715794733,0,16.786838631055147,0,8.851566046300508,0,4.378805544759667,4,9.590299657175747
2026-05-25,0,7.876361605064708,0,7.425265188042451,0,5.744833639192515,0,2.130492676431417,1,10.004856726566281,0,8.608062839320784,0,5.300680167247918,0,6.509298998569402,0,0.3043478260869481,0,-0.5254378648874125,0,1.1046295147077112,1,4.953035574212975
2026-05-26,1,10.00258910848364,0,8.82976987106252,0,4.874368067607349,0,2.46414602346805,0,1.4657836644591526,0,6.219820892982497,0,0.9149130832570851,0,2.5237708105050993,0,1.3697442566103168,0,-6.388865599060944,0,-7.095506997299273,1,2.289139380188681
2026-05-27,0,2.800878707045351,0,-3.8017396520696023,0,-5.590330239585583,0,-3.473724392416333,0,-8.693760334174572,0,-0.7129268048463033,0,0.7588395285584637,0,5.371487674538877,0,5.182587873086453,0,-2.9198387819077465,0,-3.5940803382664033,0,-1.3338733418215816
2026-05-28,0,2.945890254140271,0,3.7181385922519405,0,0.5639384240207157,0,-1.054574215660431,0,0.076248570339299,0,3.358276689727502,0,7.793984001727616,0,4.42037758073488,0,7.415237011139131,0,1.854414613894284,0,2.6315789473684292,0,3.065773679062149
2026-05-29,0,3.6696567573578642,0,-0.7665714715166194,0,3.922905931090237,0,-1.8065547561950557,0,-0.9333333333333416,0,-1.6567793302630696,0,-3.0743161462115642,0,1.7077144826721735,0,-2.520626750435251,0,-7.463768115942038,0,-6.690705128205121,0,-1.4193070782710715
2026-06-01,0,-3.5469107551487467,0,-7.2175098455013575,0,-7.634719622760755,0,-7.101378486920639,0,-1.5862334166506398,0,-3.7682309752951726,0,-2.6835233731785535,0,-5.782679688222059,0,-2.4460319925454277,0,-7.233750978856701,0,-5.452984113353376,0,-4.950359386221221
2026-06-02,0,4.0109727164887365,0,6.9300465268141265,0,4.947368421052634,0,1.9658244486636445,0,8.27390837159323,0,9.881227317716924,0,5.469911504424774,0,6.556144137074105,0,7.028575977075557,0,4.357919172734004,0,2.1646987587041977,0,5.598781577485631
2026-06-03,0,0.014256183619654195,0,-0.916030534351131,0,-4.212637913741224,0,1.24899736450097,0,-3.2118368819920584,0,4.719636691187512,0,6.9801394517582604,0,8.837880136250664,0,0.319797709355929,0,-1.5065722952477323,0,1.2298118239739253,0,1.2275856123013427
2026-06-04,0,2.0312165918323632,0,8.48998459167949,0,2.9790575916230244,0,3.7573562698053564,0,2.4981357196122156,0,-0.8064082576205611,0,0.39215686274509665,0,-3.403163504102402,0,3.0691674697902016,0,5.728364644287032,0,1.317330210772849,0,2.3684725627658785
2026-06-05,0,-4.051411008661621,0,-5.396960658997296,0,-5.180741267985156,0,-7.586169284467726,0,-4.374317933794092,0,-3.6023341101656503,0,-7.813281250000004,0,-4.8832457676590835,0,-3.0209307343738723,0,-5.359743664433436,0,-4.79630164692284,0,-5.0968579388600705
2026-06-08,0,-2.4024461269656405,0,2.837411800030032,0,-0.9008042895442436,0,-7.111242254352302,0,5.515929624346172,0,-3.0735208680822357,0,-2.1186620225595143,0,-6.978242857581252,0,-8.833345694578366,0,-6.0839232584384835,0,-3.8239757207890746,0,-2.997529242592264
2026-06-09,1,10.002983738624494,0,2.98540145985402,0,7.120441510659026,0,8.815120711562896,0,3.2086525461919813,0,8.376032019180556,0,2.1653867133048843,0,4.427143469798445,0,14.725024406117804,0,13.611535940572427,1,10.003155569580313,2,7.767352553222441
2026-06-10,0,-0.38651929205939517,0,-7.4349705861506905,0,-3.257904838872605,0,-3.5877974018391545,0,-3.9210549297004738,0,-1.6841804784927916,0,-2.79661016949152,0,-7.398515242457748,0,-6.396255850234011,0,-3.028846153846154,0,-1.1761331038439349,0,-3.7335261860898616
2026-06-11,0,1.9264805990469647,0,-2.825421133231243,0,-1.8012843940896972,0,-1.4473445164415844,0,-4.108343937465908,0,-4.549331300923665,0,-2.005231037489097,0,0.2967966431276281,0,-0.2803030303030307,0,-3.2325235498264715,0,-2.5544267053701053,0,-1.8709938511787463
2026-06-12,0,1.0351966873705987,0,-1.3474115514931828,0,0.8879200340280669,0,0.5315226742042434,0,-3.772511848341231,0,-3.714828897338407,0,2.2241992882562345,0,-4.438775510204085,0,-3.8972878523133025,0,0.6250640434470656,0,-1.5787905868334895,0,-1.2223366835652263
2026-06-15,1,10.001322051824424,0,6.837060702875397,0,5.349143610013174,0,5.284068335319825,0,3.073286052009472,0,6.719188089878769,0,8.355091383812008,0,8.57447944474108,0,18.774703557312257,0,11.181262729124231,0,6.734261501210659,1,8.262169768920119
2026-06-16,0,7.806021272760066,0,5.14354066985645,0,1.0205102551275491,0,3.1872278664731635,0,3.392584097859319,0,1.5744972154896564,0,0.24819277108432125,0,6.448334644636766,0,-0.019966722129782788,0,0.8884411064297382,0,3.7714447752729363,0,3.041893450260017
2026-06-17,0,0.4180602006689016,0,4.202218430034144,1,10.00049519659305,0,1.7497468211995049,1,10.000924299842872,0,1.6174863387978133,0,2.245030406461068,0,1.4228080441008872,0,3.488217281320738,0,2.3785746709032995,0,1.9538188277087087,2,3.5888527743300895
2026-06-18,0,2.064945878434643,0,0.9211873080859689,0,2.145091948589828,0,2.0182471661598145,0,0.7562389715149997,0,4.230300423030053,0,7.191386322495719,0,2.2075122217836363,0,1.5631030490158127,0,3.139132748071294,0,-0.3350308228357024,0,2.354737746758733
2026-06-22,0,0.34263338228095463,0,-1.784989858012176,0,0.7800793301013575,0,-0.9756097560975618,0,-5.770994912851302,0,-0.2596821902730917,0,1.0563792145509732,0,-3.1134878193701754,0,-1.1273671543479469,0,-5.5111340383458,0,3.939760656178559,0,-1.1294921041987462
2026-06-23,0,-9.013550135501358,0,-4.653724356326583,0,-6.852669786154719,0,-7.443897099069508,0,-5.381007168775998,0,-4.822663241202141,0,-5.231746399195558,0,-4.617932049552309,0,-6.796489654730642,0,0.5732484076433009,0,5.407503234152666,0,-4.439357113519351
2026-06-24,0,5.617442068267109,0,3.50180505415163,0,1.3849765258215907,0,1.546422235363698,0,-0.4770367598914915,0,0.59782608695651,0,0.1656475904764143,0,4.571465312158418,0,-0.16494845360824906,0,2.1442142404777043,0,1.6936671575846773,0,1.8710437325234557
2026-06-25,0,5.583756345177648,0,8.119986048133953,0,5.348460291734214,0,1.959642430771913,0,7.274436090225556,0,9.938771835044125,0,0.8550656159977965,0,5.1309640924741995,0,12.639405204460985,0,1.7803365810451721,0,4.984310885831511,0,5.783194129172461
2026-06-26,0,-4.6474358974358925,0,-4.974514484805481,0,-4.725274725274731,0,-8.741718071738635,0,-2.7685298755913745,0,-7.287588658290877,0,-5.2523802327338664,0,-7.009386788314775,0,-2.181884855152183,0,-5.93507962753459,0,-5.081043798137719,0,-5.327712455910011
2026-06-29,0,-4.112044817927174,0,-4.223248234655075,0,0.15224913494811254,0,-1.3080895008605875,0,-8.992611281311946,0,-1.5971731448763182,0,-2.7027889208782296,0,-7.185534591194975,0,4.1487035301468245,0,-5.412156536219825,0,-7.109119534940045,0,-3.4856194452517486
2026-06-30,0,1.30871698995092,0,8.322699560470737,0,5.468030219273978,0,9.848749088372388,0,4.3366336633663405,0,8.984487216317149,0,4.098360655737698,0,2.5512451295951255,0,0.12598236246925687,0,13.077073552425666,0,3.7288135593220417,0,5.622799272481937
2026-07-01,0,-4.959630911188007,0,-5.098167539267029,0,-2.1576763485477213,0,-5.649048869901563,0,-2.827861074207616,0,-5.179571663920934,0,-3.6874015748031397,0,-5.8411523721422,0,2.133013780707005,0,-4.921719574431272,0,-6.070889894419307,0,-4.023646003829253
2026-07-02,0,-7.797330097087396,0,-9.999310392386729,0,-5.562251685192621,0,-6.354402496481681,0,-9.648437500000007,0,-11.564389464174019,0,-6.554281089300762,0,-12.010526315789471,0,-13.0587821189722,0,-2.147016011644831,0,-4.456041750301076,0,-8.104797174666437
2026-07-03,0,5.811122079631459,0,3.7085280821393063,0,7.4166863625620305,0,0.6468685680682151,0,4.593601383484658,0,3.3398821218074692,0,-2.3622047244094446,0,-0.26717709454879834,0,-2.233468286099871,0,9.50167348456674,0,0.042016806722688926,0,2.745229889447678
2026-07-06,0,-4.04901107102873,0,-4.817140746213511,0,-3.142052455553601,0,-4.966403739409875,0,-1.5293996073163063,0,-3.633079847908749,0,-1.5304659498207807,0,-5.237904838064777,0,-2.180964869901303,0,6.130073017490245,0,3.6819263614727538,0,-1.9340385223867849
2026-07-07,0,-2.2687495948661485,0,0.6908328805402375,0,-6.383462062698763,0,-2.6812856508521943,0,-3.001364256480221,0,0.6332734912900317,0,2.091144032322645,0,2.991561181434599,0,-1.220630776829179,0,-5.535999999999996,0,-3.7402106400216018,0,-1.67499012692369
2026-07-08,0,-3.5219208065265017,0,-1.1717545482577973,0,-2.370783790342157,0,-1.8461322476484576,0,-1.2333657903278117,0,0.14506959419720022,0,0.5749175505838089,0,0.6513990741120024,0,-6.835714285714278,0,-0.16937669376694275,0,1.1642586618038964,0,-1.3284912074442763
