code,name,disclosure_date,np_yoy_pct,rev_yoy_pct,tier,np_rank_pct,ret_1d,ret_5d,ret_20d,idx_ret_1d,excess_ret_1d,idx_ret_5d,excess_ret_5d,idx_ret_20d,excess_ret_20d
688578,艾力斯,2026-08-20,46.57,39.8534171741,Beat(前1/3),0.7116959064327485,0.036916208791208716,,,0.002387774103576934,0.03452843468763178,,,,
300670,大烨智能,2026-08-22,116.32,-11.1406806287,Beat(前1/3),0.8345029239766082,,,,,,,,,
688261,东微半导,2026-08-20,285.41,19.5835547497,Beat(前1/3),0.9321637426900585,0.054077253218884236,,,0.002387774103576934,0.0516894791153073,,,,
300958,建工修复,2026-08-21,105.76,-32.2965545387,Beat(前1/3),0.8216374269005848,0.039166666666666794,,,0.00037963778661431746,0.038787028880052477,,,,
300107,建新股份,2026-08-12,790.27,51.4233572136,Beat(前1/3),0.9719298245614035,0.03869969040247678,-0.007739938080495334,,0.0031981958738647176,0.035501494528612065,0.014288172648689423,-0.022028110729184758,,
600698,湖南天雁,2026-08-22,75.4,29.5616280913,Beat(前1/3),0.7795321637426901,,,,,,,,,
000989,九芝堂,2026-08-20,74.01,29.0812274081,Beat(前1/3),0.776608187134503,0.030303030303030276,,,0.002387774103576934,0.027915256199453342,,,,
600111,北方稀土,2026-08-20,120.46,36.747397269,Beat(前1/3),0.839766081871345,-0.03140978816654494,,,0.002387774103576934,-0.03379756227012187,,,,
000909,*ST数源,2026-08-12,69.37,-17.7909080702,Beat(前1/3),0.7649122807017544,-0.022321428571428714,-0.0558035714285714,,0.0031981958738647176,-0.025519624445293432,0.014288172648689423,-0.07009174407726082,,
002213,大为股份,2026-08-21,302.93,1.0902626135,Beat(前1/3),0.9350877192982456,0.01666666666666683,,,0.00037963778661431746,0.016287028880052512,,,,
600816,建元信托,2026-08-14,2559.08,-25.45,Beat(前1/3),0.9941520467836257,-0.0038610038610037423,-0.042471042471042386,,5.3731062028772314e-05,-0.003914734923032515,-0.0059190749089946815,-0.036551967562047705,,
002379,宏桥控股,2026-08-22,77.02,11.9504272706,Beat(前1/3),0.7830409356725146,,,,,,,,,
600419,天润乳业,2026-08-21,348.2113208366,3.9320479953,Beat(前1/3),0.9456140350877194,-0.015748031496063075,,,0.00037963778661431746,-0.016127669282677393,,,,
603997,继峰股份,2026-08-15,137.26,24.2759603967,Beat(前1/3),0.8584795321637427,0.020259319286871857,-0.06158833063209079,,0.014126690527748176,0.006132628759123682,-0.005595114657453548,-0.055993215974637245,,
