date,ticker,name,decision_raw,group,t0_date,t0_close,n_days_avail,ret_5,ret_20,ret_40,data_status
2026-07-03,600399,抚顺特钢,reject,reject,2026-07-03,4.24,35,-2.594,-0.943,,OK
2026-07-03,300395,菲利华,watch_expired,watch,2026-07-03,114.02,35,-9.533,-36.178,,OK
2026-07-03,002025,航天电器,probe,probe,2026-07-03,83.55,35,-5.266,-26.547,,OK
2026-07-03,688582,芯动联科,reject,reject,2026-07-03,60.0,35,-4.333,-37.15,,OK
2026-07-06,002428,云南锗业,reject,reject,2026-07-06,105.31,34,-14.32,-35.096,,OK
2026-07-06,301128,强瑞技术,watch_expired,watch,2026-07-06,150.51,34,-12.976,-40.011,,OK
2026-07-06,002171,楚江新材,reject,reject,2026-07-06,12.73,34,-15.632,-25.452,,OK
2026-07-06,002130,沃尔核材,watch_expired,watch,2026-07-06,18.34,34,-10.96,-6.598,,OK
2026-07-06,002993,奥海科技,watch_expired,watch,2026-07-06,67.82,34,-25.966,-50.059,,OK
2026-07-06,688484,南芯科技,reject,reject,2026-07-06,46.05,34,-7.058,-26.645,,OK
2026-07-06,300019,硅宝科技,reject,reject,2026-07-06,18.77,34,-9.377,-20.778,,OK
2026-07-06,688456,有研粉材,watch_expired,watch,2026-07-06,119.61,34,-16.696,-46.66,,OK
2026-07-06,688716,中研股份,reject,reject,2026-07-06,37.2,34,-15.081,-25.0,,OK
2026-07-06,301076,新瀚新材,reject,reject,2026-07-06,27.82,34,-19.482,-21.747,,OK
2026-07-06,000708,中信特钢,reject,reject,2026-07-06,13.5,34,-4.148,8.815,,OK
2026-07-06,603505,金石资源,watch_expired,watch,2026-07-06,20.18,34,-21.853,-19.574,,OK
2026-07-06,601137,博威合金,reject,reject,2026-07-06,21.87,34,-17.101,-22.039,,OK
2026-07-06,688131,皓元医药,probe,probe,2026-07-06,92.11,34,-10.542,-18.38,,OK
2026-07-06,688293,奥浦迈,probe,probe,2026-07-06,44.24,34,4.882,10.285,,OK
2026-07-06,688690,纳微科技,watch_expired,watch,2026-07-06,41.06,34,-10.375,-19.264,,OK
2026-07-06,300725,药石科技,probe,probe,2026-07-06,37.45,34,2.804,-3.338,,OK
2026-07-06,603191,望变电气,watch_expired,watch,2026-07-06,15.62,34,-14.405,-9.923,,OK
2026-07-06,002270,华明装备,watch_expired,watch,2026-07-06,19.86,34,-10.322,4.582,,OK
2026-07-06,600577,精达股份,reject,reject,2026-07-06,9.37,34,-15.902,-13.661,,OK
2026-07-06,688190,云路股份,reject,reject,2026-07-06,85.59,34,-16.93,-17.619,,OK
2026-07-06,600873,梅花生物,probe,probe,2026-07-06,7.67,34,2.999,6.649,,OK
2026-07-06,600299,安迪苏,reject,reject,2026-07-06,8.32,34,-6.13,2.885,,OK
2026-07-06,600201,生物股份,watch_expired,watch,2026-07-06,12.74,34,-7.143,0.549,,OK
2026-07-06,603566,普莱柯,watch_expired,watch,2026-07-06,10.55,34,-2.654,-0.569,,OK
2026-07-07,603688,石英股份,watch_expired,watch,2026-07-07,64.91,33,-4.606,-33.046,,OK
2026-07-07,600497,驰宏锌锗,reject,reject,2026-07-07,10.34,33,-5.319,-7.157,,OK
2026-07-07,000657,中钨高新,watch_expired,watch,2026-07-07,76.84,33,-2.668,-32.054,,OK
2026-07-07,600206,有研新材,watch_expired,watch,2026-07-07,55.94,33,-5.989,-35.359,,OK
2026-07-07,688012,中微公司,watch_expired,watch,2026-07-07,420.04,33,-3.509,-24.355,,OK
2026-07-07,688120,华海清科,watch_expired,watch,2026-07-07,276.0,33,11.957,-17.351,,OK
2026-07-07,688147,微导纳米,watch_expired,watch,2026-07-07,142.2,33,-3.601,-38.326,,OK
