code,date,month,close,turn,fcap,gain20,streak,yizi,isST,lp,mkt_lu_cnt,promo_rate,peer_cnt,ret_open,ret_close,next_lu,next_dt_yizi
sz.002583,2025-05-08,2025-05,12.86,10.8196,15648541097.545195,24.0115718418515,1,False,0,0.1,99,0.34375,2,2.6438569206842955,-0.4665629860031051,False,False
sz.002583,2025-06-13,2025-06,12.51,11.5481,15805403693.075052,2.3731587561374834,1,False,0,0.1,63,0.1267605633802817,1,0.0,0.9592326139088891,False,False
sz.002583,2025-08-20,2025-08,13.86,12.0301,17158130331.501818,17.65704584040748,1,False,0,0.1,98,0.2079207920792079,0,3.2467532467532534,-3.31890331890331,False,False
sz.002583,2025-12-25,2025-12,11.89,10.4261,14851395213.35878,1.4505119453924964,1,False,0,0.1,94,0.3076923076923077,0,-1.766190075693863,-2.8595458368376736,False,False
sz.002584,2025-03-27,2025-03,8.34,26.0794,3531356467.9402137,5.037783375314864,1,False,0,0.1,51,0.10344827586206896,0,0.0,-2.6378896882494063,False,False
sz.002584,2025-04-17,2025-04,9.04,14.1503,3873141563.0764017,14.14141414141412,1,False,0,0.1,95,0.4,0,3.2079646017699304,0.22123893805310324,False,False
sz.002584,2025-04-22,2025-04,10.18,28.3899,4082112059.394362,36.644295302013404,1,False,0,0.1,92,0.25225225225225223,1,1.1787819253438192,-3.7328094302553905,False,False
sz.002584,2025-04-24,2025-04,10.78,29.657,4422837350.979533,42.21635883905013,1,False,0,0.1,64,0.25,10,0.6493506493506551,-2.0408163265306034,False,False
sz.002584,2025-05-21,2025-05,11.0,25.807,4489100919.517961,21.41280353200883,1,False,0,0.1,80,0.32,4,0.0,-6.090909090909092,False,False
sz.002584,2025-09-19,2025-09,9.22,13.157,4248242791.061792,-0.10834236186348933,1,False,0,0.1,60,0.23333333333333334,0,0.0,2.49457700650757,False,False
sz.002584,2025-12-12,2025-12,9.35,13.0041,4297413230.827201,8.594657375145175,1,False,0,0.1,81,0.4,0,-0.9625668449197877,0.8556149732620311,False,False
sz.002585,2025-12-04,2025-12,6.3,12.4413,5442693257.939282,14.754098360655732,1,False,0,0.1,39,0.19230769230769232,0,4.761904761904767,10.000000000000009,True,False
sz.002585,2025-12-05,2025-12,6.93,12.7888,6098561113.005129,22.438162544169593,2,False,0,0.1,79,0.28205128205128205,0,9.956709956709965,9.956709956709965,True,False
sz.002585,2025-12-08,2025-12,7.62,2.3379,6755726621.326833,33.68421052631578,3,True,0,0.1,77,0.31645569620253167,4,-0.9186351706036766,-6.036745406824151,False,False
sz.002586,2025-01-16,2025-01,2.32,0.7597,2059845202.0534418,,1,False,1,0.05,80,0.3333333333333333,0,0.8620689655172376,-1.2931034482758563,False,False
sz.002586,2025-02-13,2025-02,2.19,0.4694,1935903706.859821,-13.779527559055127,1,False,1,0.05,68,0.2289156626506024,0,0.4566210045662267,0.0,False,False
sz.002586,2025-03-12,2025-03,2.32,0.6812,2063332354.6682324,11.004784688995217,1,False,1,0.05,88,0.31666666666666665,0,1.2931034482758674,1.2931034482758674,False,False
sz.002586,2025-03-14,2025-03,2.47,1.537,2201042290.175667,12.785388127853903,1,False,1,0.05,89,0.35294117647058826,2,1.2145748987854255,4.85829959514168,True,False
sz.002586,2025-03-17,2025-03,2.59,1.5236,2289690779.732213,20.465116279069772,2,False,1,0.05,76,0.2696629213483146,7,1.5444015444015413,5.0193050193050315,True,False
sz.002586,2025-03-18,2025-03,2.72,0.6572,2416213481.4363966,30.14354066985647,3,False,1,0.05,77,0.2894736842105263,14,5.1470588235293935,5.1470588235293935,True,False
sz.002586,2025-03-19,2025-03,2.86,0.1473,2564816157.5016975,33.644859813084096,4,True,1,0.05,56,0.2987012987012987,16,4.895104895104896,4.895104895104896,True,False
sz.002586,2025-03-20,2025-03,3.0,0.1142,2690096322.2416816,42.18009478672986,5,True,1,0.05,74,0.42857142857142855,17,5.000000000000004,-4.999999999999993,False,False
sz.002586,2025-03-26,2025-03,2.9,1.0406,2495304539.688641,31.818181818181813,1,False,1,0.05,87,0.2413793103448276,10,4.827586206896561,2.413793103448292,False,False
sz.002586,2025-04-21,2025-04,3.01,0.2225,2700098516.853933,5.6140350877192935,1,True,1,0.05,111,0.2857142857142857,7,4.983388704318958,0.6644518272425293,False,False
sz.002586,2025-05-13,2025-05,3.23,2.4177,2855883092.195061,18.315018315018317,1,False,1,0.05,69,0.25882352941176473,8,1.8575851393188847,1.8575851393188847,False,False
sz.002586,2025-08-12,2025-08,3.33,1.3622,2925573815.886067,7.41935483870968,1,False,1,0.05,59,0.24096385542168675,0,3.3033033033033066,0.0,False,False
sz.002586,2025-09-16,2025-09,3.8,2.1573,3362903685.6255503,10.465116279069765,1,False,1,0.05,87,0.275,0,0.263157894736854,0.5263157894736858,False,False
sz.002586,2025-09-29,2025-09,3.99,1.9912,3514698423.0614705,12.078651685393261,1,False,1,0.05,66,0.17647058823529413,0,0.0,0.25062656641603454,False,False
sz.002586,2025-10-23,2025-10,4.36,2.7642,3890650837.4936686,14.136125654450282,1,False,1,0.05,65,0.1917808219178082,2,0.2293577981651307,-2.064220183486254,False,False
sz.002586,2025-10-27,2025-10,4.48,3.4646,4003152283.091843,18.83289124668437,1,False,1,0.05,63,0.2028985507246377,5,-0.22321428571430157,1.5624999999999778,False,False
sz.002586,2025-11-13,2025-11,4.37,1.2766,4724805359.548802,10.632911392405052,1,False,1,0.05,104,0.36,3,2.517162471395884,-0.6864988558352492,False,False
sz.002587,2025-04-29,2025-04,5.67,4.4386,2881970922.3629074,-2.2413793103448265,1,False,0,0.1,73,0.15384615384615385,0,4.056437389770728,0.3527336860670305,False,False
sz.002588,2025-04-08,2025-04,7.63,4.0829,7605625984.47182,6.41562064156207,1,False,0,0.1,121,0.6956521739130435,0,0.0,2.2280471821756187,False,False
sz.002589,2025-11-26,2025-11,3.19,11.5324,4304816285.421942,10.000000000000009,1,False,0,0.1,75,0.2765957446808511,0,-0.31347962382444194,-2.821316614420055,False,False
sz.002589,2025-12-03,2025-12,3.52,7.709,4700332177.714359,19.32203389830507,1,False,0,0.1,52,0.23636363636363636,0,7.386363636363624,9.943181818181813,True,False
sz.002589,2025-12-04,2025-12,3.87,24.5816,5213376120.472223,30.303030303030297,2,False,0,0.1,39,0.19230769230769232,0,3.100775193798455,10.077519379844958,True,False
sz.002589,2025-12-05,2025-12,4.26,6.6456,5683357826.682317,43.918918918918905,3,False,0,0.1,79,0.28205128205128205,7,10.093896713615047,10.093896713615047,True,False
sz.002589,2025-12-08,2025-12,4.69,40.3502,6235244482.48088,56.856187290969906,4,False,0,0.1,77,0.31645569620253167,7,-5.54371002132198,-10.021321961620478,False,False
sz.002590,2025-05-16,2025-05,13.2,2.9742,6533425089.099589,15.992970123022832,1,False,0,0.1,68,0.25,0,10.000000000000009,10.000000000000009,True,False
sz.002590,2025-05-19,2025-05,14.52,1.8689,7186854596.82166,29.29652715939448,2,True,0,0.1,121,0.4264705882352941,0,9.986225895316814,9.986225895316814,True,False
sz.002590,2025-05-20,2025-05,15.97,20.7097,7889157786.254748,43.61510791366907,3,False,0,0.1,100,0.33884297520661155,10,-1.1271133375078346,2.692548528490901,False,False
sz.002591,2025-11-05,2025-11,7.46,26.2343,1624770868.6719294,27.73972602739727,1,False,0,0.1,80,0.4,0,10.05361930294908,10.05361930294908,True,False
sz.002591,2025-11-06,2025-11,8.21,4.1046,1835018808.1664476,31.99356913183282,2,True,0,0.1,73,0.2125,0,-2.5578562728380105,-9.98781973203412,False,False
sz.002591,2025-12-26,2025-12,7.45,5.568,1634902837.6436782,2.1947873799725626,1,False,0,0.1,91,0.2553191489361702,0,4.295302013422808,10.067114093959727,True,False
sz.002591,2025-12-29,2025-12,8.2,7.5459,1805882015.399091,14.047287899860894,2,False,0,0.1,86,0.23076923076923078,2,10.000000000000009,10.000000000000009,True,False
sz.002591,2025-12-30,2025-12,9.02,3.7763,2016095281.0952518,24.93074792243768,3,True,0,0.1,65,0.2558139534883721,11,1.8847006651884657,-9.977827050997789,False,False
sz.002592,2025-01-15,2025-01,4.58,0.423,1203164917.2576833,,1,True,1,0.05,75,0.18666666666666668,0,5.021834061135366,5.021834061135366,True,False
sz.002592,2025-01-16,2025-01,4.81,2.4807,1253788728.9877856,,2,False,1,0.05,80,0.3333333333333333,0,0.4158004158004269,-0.20790020790020236,False,False
sz.002592,2025-01-27,2025-01,5.02,2.292,1315718062.8272252,,1,False,1,0.05,48,0.1388888888888889,3,0.5976095617529875,1.195219123505975,False,False
sz.002592,2025-04-28,2025-04,5.29,0.4999,1389902790.5581114,4.545454545454564,1,True,1,0.05,52,0.16883116883116883,0,3.0245746691871522,2.6465028355387554,False,False
sz.002592,2025-05-27,2025-05,6.21,2.2539,1602505346.2886553,23.214285714285722,1,False,1,0.05,91,0.3780487804878049,0,4.8309178743961345,-0.48309178743961567,False,False
sz.002592,2025-06-30,2025-06,6.45,3.1203,1671247860.782617,7.859531772575257,1,False,1,0.05,90,0.23333333333333334,0,2.0155038759689825,0.15503875968991832,False,False
sz.002592,2025-07-25,2025-07,6.87,3.5997,1772326753.0627553,11.889250814332254,1,False,1,0.05,46,0.1095890410958904,0,3.056768558951961,4.512372634643369,False,False
sz.002592,2025-08-04,2025-08,7.37,2.2525,1898494827.9689233,14.797507788162001,1,False,1,0.05,70,0.29411764705882354,2,2.849389416553594,2.3066485753052923,False,False
sz.002592,2025-08-15,2025-08,7.47,1.9166,1932911795.3667953,16.536661466458646,1,False,1,0.05,101,0.3,2,0.40160642570281624,-0.9370816599732157,False,False
sz.002592,2025-09-08,2025-09,7.08,1.827,1817987082.6491516,-3.934871099050208,1,False,1,0.05,87,0.1485148514851485,2,0.28248587570620654,-0.7062146892655385,False,False
sz.002592,2025-10-16,2025-10,7.09,0.3756,1862731387.1139512,-2.4759284731774356,1,True,1,0.05,55,0.18518518518518517,1,4.654442877291953,4.936530324400579,True,False
sz.002592,2025-10-17,2025-10,7.44,7.5602,1948656913.8382583,3.3333333333333437,2,False,1,0.05,41,0.23636363636363636,2,-0.26881720430108613,4.973118279569877,True,False
