code,date,month,close,turn,fcap,gain20,streak,yizi,isST,lp,mkt_lu_cnt,promo_rate,peer_cnt,ret_open,ret_close,next_lu,next_dt_yizi
sh.603021,2026-01-21,2026-01,5.09,3.4655,1615115815.8995817,10.652173913043494,1,False,1,0.05,86,0.18333333333333332,2,-0.19646365422396617,3.5363457760314354,False,False
sh.603021,2026-01-27,2026-01,5.53,3.427,1733571917.128684,18.669527896995717,1,False,1,0.05,56,0.1875,1,0.3616636528028794,-1.9891500904159143,False,False
sh.603021,2026-02-03,2026-02,5.44,3.937,1726780726.441453,10.794297352342163,1,False,1,0.05,80,0.37209302325581395,3,4.779411764705888,4.9632352941176405,True,False
sh.603021,2026-02-04,2026-02,5.71,1.5406,1824459275.6069064,16.768916155419223,2,False,1,0.05,74,0.175,3,0.0,5.078809106830118,True,False
sh.603021,2026-02-05,2026-02,6.0,6.3622,1886179299.6133413,24.74012474012475,3,False,1,0.05,54,0.16216216216216217,7,0.0,0.0,False,False
sh.603021,2026-02-09,2026-02,6.3,2.2838,2014380199.6672213,27.789046653144013,1,False,1,0.05,91,0.3220338983050847,15,0.15873015873015817,-4.920634920634914,False,False
sh.603021,2026-02-13,2026-02,6.42,4.1818,2041369065.9524605,32.9192546583851,1,False,1,0.05,43,0.13043478260869565,9,1.5576323987538832,4.984423676012462,True,False
sh.603021,2026-02-24,2026-02,6.74,2.6126,2116471346.5513282,39.834024896265554,2,False,1,0.05,105,0.2558139534883721,17,3.264094955489605,3.857566765578624,False,False
sh.603021,2026-02-27,2026-02,7.12,1.053,2241176201.3295345,35.104364326375716,1,False,1,0.05,90,0.189873417721519,10,1.8258426966292207,2.949438202247201,False,False
sh.603021,2026-03-06,2026-03,7.18,3.2552,2259289389.284837,33.20964749536179,1,False,1,0.05,86,0.15384615384615385,18,0.6963788300835771,3.203342618384397,False,False
sh.603021,2026-03-25,2026-03,7.38,4.4164,2331502848.47387,5.428571428571427,1,False,1,0.05,38,0.32432432432432434,2,-0.40650406504065817,-2.8455284552845517,False,False
sh.603021,2026-04-10,2026-04,7.63,1.3596,2411935613.4157104,4.951856946354893,1,False,1,0.05,27,0.1875,5,1.572739187418093,4.980340760157276,True,False
sh.603021,2026-04-13,2026-04,8.01,1.168,2517363099.3150687,11.404728789986084,2,False,1,0.05,25,0.25925925925925924,7,0.0,1.8726591760299671,False,False
sh.603021,2026-04-15,2026-04,8.57,2.2022,2704136844.973209,18.370165745856347,1,False,1,0.05,17,0.13043478260869565,4,2.9171528588098017,-5.017502917152861,False,False
sh.603022,2025-12-18,2025-12,10.53,14.4105,2070728832.2403803,-0.37842951750237663,1,False,0,0.1,70,0.3684210526315789,0,2.564102564102577,1.4245014245014342,False,False
sh.603023,2025-12-08,2025-12,4.95,12.3882,2711593290.5506854,,1,False,0,0.1,77,0.31645569620253167,0,6.2626262626262585,10.1010101010101,False,False
sh.603023,2025-12-16,2025-12,5.17,13.4159,2855764261.585134,18.036529680365287,1,False,0,0.1,42,0.23809523809523808,0,0.0,-7.350096711798837,False,False
sh.603023,2025-12-18,2025-12,5.27,12.6374,2899504252.6943836,24.586288416075618,1,False,0,0.1,70,0.3684210526315789,2,-0.3795066413662118,10.056925996204935,True,False
sh.603023,2025-12-19,2025-12,5.8,22.7642,3108370404.3190627,44.63840399002494,2,False,0,0.1,82,0.2857142857142857,4,4.137931034482767,3.1034482758620863,False,False
sh.603023,2026-01-06,2026-01,5.63,12.9812,3059702378.2855206,25.111111111111107,1,False,0,0.1,139,0.416,11,3.0195381882770933,-0.8880994671403131,False,False
sh.603023,2026-01-15,2026-01,5.94,5.6137,3242917041.167145,14.893617021276606,1,False,0,0.1,61,0.15384615384615385,2,7.239057239057223,-0.33670033670034627,False,False
sh.603025,2026-04-20,2026-04,16.89,1.4282,18607697538.159924,11.558784676354028,1,False,0,0.1,31,0.23076923076923078,0,,,False,False
sh.603026,2026-03-26,2026-03,85.32,10.345,19392196671.14548,28.204357625845233,1,False,0,0.1,16,0.13157894736842105,0,-1.5236755743084807,9.997655883731827,True,False
sh.603026,2026-03-27,2026-03,93.85,13.7581,20670409273.736923,41.36165085103176,2,False,0,0.1,32,0.375,0,1.001598295151851,-0.8417687799680218,False,False
sh.603026,2026-04-10,2026-04,85.16,11.8231,19393540951.780834,19.355290819901903,1,False,0,0.1,27,0.1875,1,-0.18788163457021945,5.166744950681079,False,False
sh.603026,2026-04-14,2026-04,98.52,6.1616,22735136818.68346,31.35999999999999,1,False,0,0.1,23,0.24,0,5.5623223710921765,0.1319529029638833,False,False
sh.603028,2025-12-25,2025-12,8.73,7.1572,2389770333.370592,12.936610608020693,1,False,0,0.1,94,0.3076923076923077,0,7.674684994272618,-2.5200458190148933,False,False
sh.603028,2026-01-07,2026-01,9.7,18.2515,2693313396.87149,19.60542540073982,1,False,0,0.1,97,0.23741007194244604,0,-0.9278350515463885,-2.3711340206185483,False,False
sh.603029,2026-03-13,2026-03,21.6,5.5146,2549024190.331121,8.162243365047583,1,False,0,0.1,66,0.21311475409836064,0,-4.490740740740751,-5.879629629629646,False,False
sh.603031,2025-12-12,2025-12,44.19,6.7261,9066433173.161266,,1,False,0,0.1,81,0.4,0,4.1185788639963805,-3.1455080334917396,False,False
sh.603031,2025-12-19,2025-12,42.9,6.2471,8752748598.549728,18.410157328181075,1,False,0,0.1,82,0.2857142857142857,0,2.564102564102577,2.4009324009323985,False,False
sh.603031,2026-01-08,2026-01,52.5,9.1436,10724502282.361435,29.2466765140325,1,False,0,0.1,107,0.32989690721649484,2,1.904761904761898,-0.6095238095238154,False,False
sh.603031,2026-02-03,2026-02,55.65,5.4849,11387204071.724188,22.87480680061824,1,False,0,0.1,80,0.37209302325581395,4,2.3360287511231093,7.637017070979346,False,False
sh.603031,2026-02-09,2026-02,59.4,4.3513,12182735728.403006,15.67672833495617,1,False,0,0.1,91,0.3220338983050847,2,2.659932659932651,-1.548821548821555,False,False
sh.603031,2026-04-17,2026-04,57.46,7.3473,12104965202.863638,20.841219768664576,1,False,0,0.1,26,0.2631578947368421,0,-0.8005569091541931,-4.507483466759488,False,False
sh.603032,2026-04-16,2026-04,22.15,13.6832,4962006295.018709,17.944621938232142,1,False,0,0.1,19,0.11764705882352941,0,-0.4966139954853288,2.753950338600464,False,False
sh.603033,2026-04-03,2026-04,10.78,2.1788,10486294011.382412,-0.6451612903225823,1,False,0,0.1,10,0.09090909090909091,0,-0.5565862708719727,2.0408163265306145,False,False
sh.603037,2026-01-07,2026-01,15.86,14.3134,4093953571.8976617,21.34659525631215,1,False,0,0.1,97,0.23741007194244604,0,0.2522068095838659,7.377049180327888,False,False
sh.603038,2026-01-16,2026-01,19.67,7.5191,5124763896.875956,23.32288401253919,1,False,0,0.1,66,0.11475409836065574,0,-3.9145907473309816,-5.388917132689386,False,False
sh.603039,2026-03-31,2026-03,43.45,2.4784,11073572064.638475,0.46242774566473965,1,False,0,0.1,13,0.07142857142857142,0,1.8411967779056404,6.881472957422319,False,False
sh.603040,2026-01-21,2026-01,105.38,2.6718,13889553888.015568,33.697031210352705,1,False,0,0.1,86,0.18333333333333332,0,1.1197570696526826,10.001897893338407,True,False
sh.603040,2026-01-22,2026-01,115.92,3.6817,15335955440.964771,48.61538461538461,2,False,0,0.1,87,0.19767441860465115,0,0.0,4.037267080745344,False,False
sh.603042,2025-12-08,2025-12,17.67,13.52,2758125457.248521,,1,False,0,0.1,77,0.31645569620253167,0,6.960950764006779,0.45274476513863515,False,False
sh.603042,2026-02-24,2026-02,20.1,10.5353,3147670384.6117334,15.583668775158133,1,False,0,0.1,105,0.2558139534883721,0,-1.7412935323383172,-3.7810945273631935,False,False
sh.603042,2026-03-25,2026-03,21.25,14.3425,3362106628.2028937,9.875904860392959,1,False,0,0.1,38,0.32432432432432434,0,-0.9411764705882342,-3.294117647058825,False,False
sh.603042,2026-04-02,2026-04,21.76,19.4554,3423465308.8088655,8.366533864541847,1,False,0,0.1,11,0.09523809523809523,0,1.1029411764705843,-4.687500000000011,False,False
sh.603042,2026-04-07,2026-04,22.81,16.0817,3603060684.0694695,20.432946145723328,1,False,0,0.1,35,0.3,0,-0.964489259096879,-2.1481806225339684,False,False
sh.603045,2026-01-26,2026-01,28.93,4.5922,3917546107.965681,45.81653225806453,1,False,0,0.1,80,0.16379310344827586,0,0.06913238852401804,0.3110957483581034,False,False
sh.603045,2026-03-04,2026-03,32.41,7.2901,4194768811.8132806,11.681598897312195,1,False,0,0.1,44,0.07792207792207792,0,4.93674791730947,3.7025609379821134,False,False
sh.603045,2026-04-08,2026-04,31.35,3.5147,4088465308.561186,-10.377358490566024,1,False,0,0.1,40,0.05714285714285714,0,-0.2870813397129135,0.9250398724082842,False,False
sh.603051,2026-01-23,2026-01,27.57,12.5777,4341165791.122384,36.62041625371655,1,False,0,0.1,116,0.2413793103448276,0,5.114254624591941,-4.715270221254986,False,False
sh.603051,2026-02-03,2026-02,26.51,9.5615,4115149914.6577415,14.861351819757385,1,False,0,0.1,80,0.37209302325581395,0,1.546586193889099,4.451150509241786,False,False
sh.603052,2025-11-25,2025-11,31.8,2.1523,5775611773.451657,,1,False,0,0.1,94,0.23376623376623376,0,1.7924528301886733,-1.6352201257861632,False,False
sh.603052,2025-12-05,2025-12,32.58,4.2065,5891868440.746464,,1,False,0,0.1,79,0.28205128205128205,0,0.36832412523022384,2.516881522406389,False,False
sh.603052,2026-01-05,2026-01,34.71,3.2594,6443466125.360496,17.184334908845365,1,False,0,0.1,125,0.3,0,7.807548256986463,5.848458657447431,False,False
sh.603052,2026-01-07,2026-01,40.41,10.3847,7236495956.45517,20.9880239520958,1,False,0,0.1,97,0.23741007194244604,6,3.9346696362286604,3.9346696362286604,False,False
sh.603052,2026-01-16,2026-01,50.67,7.357,9194894814.190567,59.943181818181834,1,False,0,0.1,66,0.11475409836065574,4,-4.6575883165581144,-1.7564633905664095,False,False
sh.603052,2026-01-21,2026-01,50.85,4.9208,9080080324.947163,66.72131147540985,1,False,0,0.1,86,0.18333333333333332,2,2.2615535889872085,6.391347099311706,False,False
sh.603052,2026-01-27,2026-01,56.43,4.393,10117026981.106304,74.5437673987009,1,False,0,0.1,56,0.1875,5,1.9847598794967114,9.994683678894202,True,False
sh.603052,2026-01-28,2026-01,62.07,7.8474,11543271496.291763,91.69240271772698,2,False,0,0.1,82,0.16071428571428573,9,2.3844047043660277,7.282100853874662,False,False
sh.603052,2026-03-16,2026-03,64.13,5.2754,11425468868.900936,-9.701492537313438,1,False,0,0.1,63,0.18181818181818182,5,2.9159519725557637,-9.99532200218306,False,False
sh.603052,2026-03-18,2026-03,63.49,9.311,11348136712.705404,1.35696040868456,1,False,0,0.1,69,0.20408163265306123,6,1.1025358324145529,4.268388722633487,False,False
sh.603052,2026-03-25,2026-03,65.65,3.9111,12053069674.516123,12.936521589540684,1,False,0,0.1,38,0.32432432432432434,4,0.5331302361005319,-2.0411271896420446,False,False
sh.603052,2026-04-16,2026-04,75.77,3.431,13843200724.570095,19.341628602929582,1,False,0,0.1,19,0.11764705882352941,1,4.262900884254983,10.003959350666491,True,False
sh.603052,2026-04-17,2026-04,83.35,5.9883,15223766179.21614,25.906344410876116,2,False,0,0.1,26,0.2631578947368421,3,4.799040191961601,10.005998800239958,False,False
sh.603053,2026-03-03,2026-03,11.33,4.5331,9834346055.679337,8.524904214559403,1,False,0,0.1,77,0.375,0,-1.2356575463371655,-6.443071491615182,False,False
sh.603056,2026-01-14,2026-01,15.44,0.2362,15664703640.98222,11.39971139971141,1,True,0,0.1,104,0.3055555555555556,0,9.974093264248719,9.974093264248719,True,False
sh.603056,2026-01-15,2026-01,16.98,0.1495,17223058193.979935,22.59927797833936,2,True,0,0.1,61,0.15384615384615385,0,10.011778563015316,10.011778563015316,True,False
sh.603056,2026-01-16,2026-01,18.68,2.9535,18950823632.97782,33.42857142857143,3,True,0,0.1,66,0.11475409836065574,2,0.7494646680942241,0.9635974304068595,False,False
sh.603057,2026-01-07,2026-01,22.96,1.7887,9118752956.337006,30.528709494030704,1,False,0,0.1,97,0.23741007194244604,0,1.0888501742160273,7.883275261324041,False,False
sh.603057,2026-01-09,2026-01,27.25,3.9584,10604351472.312046,56.24999999999998,1,False,0,0.1,107,0.21495327102803738,0,4.293577981651375,0.660550458715603,False,False
sh.603057,2026-02-25,2026-02,32.19,2.1664,13002224678.268095,10.58055650979044,1,False,0,0.1,99,0.21904761904761905,1,1.9881950916433633,3.1997514756135548,False,False
sh.603058,2026-01-16,2026-01,10.56,13.5842,4264437665.670411,11.275026343519489,1,False,0,0.1,66,0.11475409836065574,0,2.2727272727272707,3.882575757575757,False,False
