code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct,code6,name
sh.600513,2025-07-14,16.48,14.98,3,False,0.53,12.9567,591298946.18,4563653910.0,65.63,0,0.1,600513,联环药业
sh.600579,2025-07-31,11.13,10.12,3,False,9.98,18.1532,985659506.99,5429673595.0,39.82,0,0.1,600579,中化装备
sh.600581,2025-08-12,5.13,4.66,3,False,6.01,17.3331,1316686433.4,7596370144.0,56.88,0,0.1,600581,*ST八钢
sh.600606,2025-07-14,2.29,2.08,3,False,10.1,5.3092,1703792883.5,32091329833.0,37.95,0,0.1,600606,绿地控股
sh.600619,2025-08-13,25.28,22.98,3,False,2.31,22.7085,4344062245.74,19129674993.0,106.03,0,0.1,600619,海立股份
sh.600620,2025-07-18,7.74,7.04,3,False,0.85,11.2769,547399425.26,4854165819.0,51.17,0,0.1,600620,天宸股份
sh.600629,2025-07-22,11.58,10.53,3,True,9.97,0.7341,81026209.56,11037489383.0,39.86,0,0.1,600629,华建集团
sh.600658,2025-08-14,6.94,6.31,3,False,7.45,22.7367,1719938519.6,7564591694.0,55.61,0,0.1,600658,电子城
sh.600696,2025-08-05,6.33,6.03,3,False,1.66,2.1042,43864679.31,2084625003.0,-1.56,1,0.1,600696,?
sh.600737,2025-08-18,15.27,13.88,3,False,5.55,2.7886,894484457.13,32076470528.0,53.47,0,0.1,600737,中粮糖业
sh.600801,2025-07-23,17.44,15.85,3,False,10.03,9.9736,2338092052.64,23442809544.0,47.67,0,0.1,600801,华新建材
sh.600829,2025-07-21,10.16,9.24,3,False,9.96,13.2855,721361182.48,5429687874.0,40.72,0,0.1,600829,人民同泰
sh.600875,2025-07-23,23.74,21.58,3,False,10.01,10.5144,5045433382.46,47985937214.0,43.44,0,0.1,600875,东方电气
sh.601399,2025-07-23,4.09,3.72,3,False,7.53,4.2525,1216651481.45,28610264114.0,37.71,0,0.1,601399,国机重装
sh.601718,2025-07-01,4.31,3.92,3,True,9.95,0.547,103535949.22,18927961466.0,57.88,0,0.1,601718,ST际华
sh.601908,2025-07-14,4.64,4.22,3,True,9.95,0.8298,92973109.12,11204279238.0,49.2,0,0.1,601908,京运通
sh.603080,2025-08-12,26.74,24.31,3,False,0.0,11.2278,408778888.92,3640774586.0,52.71,0,0.1,603080,新疆火炬
sh.603083,2025-08-27,88.19,80.17,3,True,10.0,1.4664,346619242.11,23637427858.0,78.7,0,0.1,603083,剑桥科技
sh.603093,2025-07-11,27.79,25.26,3,False,1.78,8.4008,1330901355.06,15842554936.0,32.02,0,0.1,603093,南华期货
sh.603101,2025-08-22,11.45,10.41,3,False,3.84,3.1613,167926425.96,5311942111.0,42.41,0,0.1,603101,汇嘉时代
sh.603115,2025-07-18,19.64,17.85,3,False,8.85,10.7038,501066340.36,4681200512.0,39.79,0,0.1,603115,海星股份
sh.603176,2025-07-15,6.77,6.15,3,True,10.08,1.5051,47053192.5,3126250249.0,41.93,0,0.1,603176,汇通集团
sh.603256,2025-08-15,32.86,29.87,3,False,1.74,2.3086,650418838.4,28173734662.0,50.11,0,0.1,603256,宏和科技
sh.603367,2025-07-30,28.52,25.93,3,False,9.99,6.0379,776534787.4,12861007758.0,93.75,0,0.1,603367,辰欣药业
sh.603601,2025-07-02,4.92,4.47,3,False,10.07,13.5748,681419648.3,5019739873.0,32.61,0,0.1,603601,再升科技
sh.603778,2025-07-14,5.49,4.99,3,False,-1.8,29.0681,957571458.09,3294234773.0,73.19,0,0.1,603778,国晟科技
sh.603839,2025-07-31,9.44,8.58,3,True,10.02,1.349,49542375.52,3672525984.0,32.03,0,0.1,603839,安正时尚
sh.603843,2025-07-23,3.13,2.98,3,True,5.03,0.1164,2549009.4,2189870619.0,-13.06,1,0.1,603843,*ST正平
sh.603948,2025-08-29,29.17,26.52,3,True,9.99,3.0292,143576198.5,4739739816.0,32.17,0,0.1,603948,建业股份
sh.603966,2025-07-23,12.86,11.69,3,False,10.01,10.9515,560137756.0,5114712651.0,39.48,0,0.1,603966,法兰泰克
sh.605151,2025-07-02,23.47,21.34,3,True,9.98,1.0479,33092230.6,3157956923.0,25.64,0,0.1,605151,西上海
sh.605188,2025-08-13,14.63,13.3,3,False,10.0,11.7567,845411987.21,7190895296.0,37.76,0,0.1,605188,国光连锁
sh.605259,2025-07-15,26.47,24.06,3,False,3.08,7.2107,323468478.34,4485951133.0,37.15,0,0.1,605259,绿田机械
sh.605298,2025-08-13,23.82,21.65,3,False,10.02,8.1688,355274504.25,4349163944.0,60.51,0,0.1,605298,必得科技
sh.605399,2025-07-14,16.76,15.24,3,False,6.04,14.4702,714821175.2,4939953665.0,40.84,0,0.1,605399,晨光新材
sh.605598,2025-08-11,32.25,29.32,3,True,9.99,1.1595,90871341.0,7837114360.0,47.46,0,0.1,605598,上海港湾
sh.688098,2025-08-19,15.4,12.83,3,False,20.03,4.7639,295948897.64,6212323887.0,137.29,0,0.2,688098,申联生物
sh.688108,2025-08-11,24.53,20.44,3,False,10.96,21.9128,2180958719.36,9952898394.0,125.25,0,0.2,688108,赛诺医疗
sh.688228,2025-08-27,113.7,94.75,3,False,20.0,7.8206,600071810.07,7672963840.0,88.21,0,0.2,688228,开普云
sh.688425,2025-07-23,7.12,5.93,3,True,20.07,0.925,351276826.96,37975873185.0,72.82,0,0.2,688425,铁建重工
sz.000010,2025-07-11,3.98,3.62,3,True,9.94,4.9067,107589728.1,2192710541.0,26.35,0,0.1,000010,*ST美丽
sz.000488,2025-08-07,2.37,2.26,3,True,4.87,0.5684,22576027.5,3971855647.0,23.44,1,0.1,000488,ST晨鸣
sz.000561,2025-08-14,13.75,12.5,3,False,6.8,19.6451,1607329108.09,8181832152.0,41.9,0,0.1,000561,烽火电子
sz.000655,2025-07-10,9.77,8.88,3,False,1.35,19.1599,1068726253.55,5577932315.0,38.58,0,0.1,000655,金岭矿业
sz.000691,2025-07-09,4.82,4.59,3,False,1.31,6.652,100846990.74,1516040149.0,-2.23,1,0.1,000691,亚太实业
sz.000752,2025-07-23,9.71,9.25,3,True,4.97,0.2341,5995536.6,2561100641.0,19.14,1,0.1,000752,*ST西发
sz.000880,2025-07-16,45.78,41.62,3,False,7.83,6.7962,496725487.6,7308870951.0,45.66,0,0.1,000880,潍柴重机
sz.001216,2025-07-30,18.63,16.94,3,True,9.98,1.5769,73993888.8,4692364056.0,38.51,0,0.1,001216,华瓷股份
sz.001239,2025-07-23,21.07,19.15,3,True,10.03,7.5625,181650791.0,2401993931.0,42.75,0,0.1,001239,永达股份
sz.001318,2025-07-31,18.14,16.49,3,False,3.09,18.4451,923835694.54,5008569726.0,37.22,0,0.1,001318,阳光乳业
sz.002052,2025-08-13,13.16,11.96,3,False,10.03,9.1622,829663428.34,9055286158.0,18.03,0,0.1,002052,同洲电子
sz.002053,2025-08-29,14.99,13.63,3,False,-1.03,8.7557,1170163035.55,13364585762.0,40.62,0,0.1,002053,云南能投
sz.002058,2025-07-18,15.31,14.58,3,False,5.01,13.1155,286140607.37,2181698047.0,28.55,1,0.1,002058,威尔泰
sz.002096,2025-07-23,17.06,15.51,3,True,9.99,1.5678,187476605.0,11957941383.0,36.48,0,0.1,002096,易普力
sz.002104,2025-08-14,27.02,24.56,3,False,3.71,33.2428,5283506814.81,15893687700.0,13.29,0,0.1,002104,恒宝股份
sz.002201,2025-07-08,9.09,8.26,3,False,0.0,24.6446,1294712497.48,5253534233.0,45.44,0,0.1,002201,九鼎新材
sz.002217,2025-08-26,3.72,3.38,3,False,7.4,14.3119,2979594084.82,20818997372.0,50.0,0,0.1,002217,ST合力泰
sz.002218,2025-07-10,4.49,4.08,3,False,4.66,17.552,1076928237.93,6135644017.0,43.45,0,0.1,002218,拓日新能
sz.002232,2025-08-28,25.84,23.49,3,False,6.22,5.1481,537631669.44,10443302761.0,45.5,0,0.1,002232,启明信息
sz.002265,2025-07-21,36.98,33.62,3,False,0.15,15.6244,2264326745.67,14492247675.0,66.43,0,0.1,002265,建设工业
sz.002266,2025-07-23,4.47,4.06,3,False,10.1,6.1511,1331388948.09,21644729367.0,45.13,0,0.1,002266,浙富控股
sz.002272,2025-08-19,18.02,16.38,3,False,10.01,24.9687,1724061272.26,6904890011.0,58.77,0,0.1,002272,川润股份
sz.002287,2025-08-01,34.69,31.54,3,False,6.72,2.4556,446755255.12,18193323633.0,52.95,0,0.1,002287,奇正藏药
sz.002297,2025-07-23,10.53,9.57,3,True,10.03,1.4606,88146630.0,6034960290.0,37.47,0,0.1,002297,博云新材
sz.002307,2025-08-12,5.58,5.07,3,False,10.06,9.6748,681857939.84,7047772976.0,42.71,0,0.1,002307,北新路桥
sz.002364,2025-08-19,24.97,22.7,3,False,4.71,25.5885,3473156444.54,13573114659.0,60.27,0,0.1,002364,中恒电气
sz.002393,2025-07-17,26.27,23.88,3,False,6.78,13.7779,897118943.46,6511289409.0,38.85,0,0.1,002393,力生制药
