code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct
sh.600193,2025-08-04,4.38,4.17,1,False,-0.48,4.81,87644150.57,1822123712.0,-1.13,1,0.1
sh.600193,2025-08-06,4.49,4.28,1,False,1.17,3.9896,74777965.07,1874322365.0,6.15,1,0.1
sh.600193,2025-08-11,4.94,4.7,1,False,2.34,5.4196,112969157.81,2084455639.0,14.88,1,0.1
sh.600193,2025-08-29,4.47,4.26,1,False,-0.7,3.0236,56276656.65,1861246747.0,7.19,1,0.1
sh.600201,2025-07-16,8.66,7.87,1,False,-0.25,8.7406,818755530.73,9367269189.0,16.09,0,0.1
sh.600201,2025-07-17,9.53,8.66,2,False,3.0,10.8251,1129041789.84,10429850901.0,31.45,0,0.1
sh.600203,2025-08-04,11.73,10.66,1,False,-0.47,23.8706,1583695260.11,6634501270.0,28.62,0,0.1
sh.600203,2025-08-05,12.9,11.73,2,False,9.29,13.3619,1021078306.18,7641714922.0,36.94,0,0.1
sh.600203,2025-08-06,14.19,12.9,3,False,0.93,37.5262,2976992120.4,7933103060.0,52.58,0,0.1
sh.600203,2025-08-07,15.61,14.19,4,False,7.12,28.8688,2658572037.24,9209153263.0,68.76,0,0.1
sh.600203,2025-08-12,17.34,15.76,1,False,-4.06,48.7509,4879440099.72,10008923117.0,84.47,0,0.1
sh.600203,2025-08-13,19.07,17.34,2,False,1.15,45.6113,4828196944.88,10585528027.0,102.44,0,0.1
sh.600208,2025-08-13,4.53,4.12,1,True,9.95,0.491,189241162.23,38541988234.0,34.02,0,0.1
sh.600208,2025-08-14,4.98,4.53,2,True,9.93,0.1089,46130018.88,42359980606.0,38.72,0,0.1
sh.600208,2025-08-15,5.48,4.98,3,True,10.04,0.5887,274481434.44,46625010097.0,47.31,0,0.1
sh.600210,2025-08-28,7.07,6.43,1,False,5.75,12.8454,1368445400.52,10653194144.0,12.4,0,0.1
sh.600211,2025-08-04,46.19,41.99,1,False,1.52,9.9701,1450815980.65,14551669298.0,25.93,0,0.1
sh.600211,2025-08-12,48.04,43.67,1,False,2.79,5.4283,833269238.27,15350464018.0,28.86,0,0.1
sh.600218,2025-08-19,9.96,9.05,1,False,0.0,3.8655,163192802.96,4221777337.0,6.07,0,0.1
sh.600218,2025-08-20,10.96,9.96,2,False,9.54,5.9307,281940905.2,4753922896.0,18.61,0,0.1
sh.600221,2025-07-24,1.63,1.48,1,False,0.68,2.8726,1488770768.0,51826595001.0,23.48,0,0.1
sh.600222,2025-08-01,6.82,6.2,1,False,-0.16,5.6509,213995637.02,3786930171.0,16.78,0,0.1
sh.600226,2025-08-18,3.2,2.91,1,False,1.37,7.1014,651832507.13,9178929607.0,11.89,0,0.1
sh.600226,2025-08-29,3.69,3.35,1,False,-0.3,6.0806,635370743.34,10449145534.0,32.26,0,0.1
sh.600228,2025-07-01,4.47,4.26,1,False,0.23,4.9543,90723819.2,1831213677.0,3.71,1,0.1
sh.600228,2025-08-14,4.62,4.4,1,False,0.23,4.3352,82054739.73,1892755576.0,4.76,1,0.1
sh.600230,2025-07-17,12.52,11.38,1,False,1.93,8.7999,442903050.36,5033046402.0,25.2,0,0.1
sh.600230,2025-07-18,13.75,12.5,2,False,5.04,14.1358,793694852.48,5614785527.0,37.23,0,0.1
sh.600230,2025-07-22,16.13,14.66,1,False,0.27,15.9915,1021566514.54,6388184439.0,55.85,0,0.1
sh.600231,2025-07-04,2.06,1.87,1,False,0.0,4.5379,260647436.37,5743789779.0,19.08,0,0.1
sh.600232,2025-08-04,6.95,6.32,1,False,-0.16,15.4504,375464222.74,2430126228.0,8.42,0,0.1
sh.600232,2025-08-11,7.83,7.12,1,False,0.28,5.3692,149236816.39,2779498182.0,21.77,0,0.1
sh.600233,2025-07-10,13.97,12.7,1,False,0.47,2.8715,1318985927.77,45933690676.0,5.91,0,0.1
sh.600236,2025-07-09,7.43,6.75,1,False,1.19,1.2737,725393438.36,56951671379.0,15.55,0,0.1
sh.600238,2025-07-24,6.65,6.33,1,False,-0.32,3.5865,104916268.0,2925310693.0,11.39,1,0.1
sh.600238,2025-07-30,7.23,6.89,1,False,0.0,5.1337,162703197.85,3169316436.0,19.11,1,0.1
